id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
jason-lieu,M,20221208,A,200,Y,139.0,16.0,16.0,16.0
james-haney,M,20221222,A,200,Y,106.75,114.0,114.0,114.0
john-sahl-1,M,20230110,A,200,Y,113.92,87.0,87.0,87.0
michael-tayoun-1,M,20230124,A,200,Y,183.14,0.0,0.0,0.0
jake-downing-2,M,20221220,A,200,Y,146.34,0.0,0.0,0.0
john-bulthuis-1,M,20230105,A,200,Y,142.18,9.0,9.0,9.0
aaron-simpson-1,M,20230124,A,200,Y,158.41,0.0,0.0,0.0
omar-dewiar-1,M,20221213,A,200,Y,185.22,0.0,0.0,0.0
jackson-barrie,M,20221222,A,200,Y,173.51,0.0,0.0,0.0
jimmy-downing-2,M,20230105,A,200,Y,153.36,0.0,0.0,0.0
brendan-cahill,M,20230110,A,200,Y,147.01,0.0,0.0,0.0
jason-lieu,M,20230105,E,200,Y,136.71,59.0,59.0,59.0
james-haney,M,20221208,E,200,Y,117.33,120.0,120.0,120.0
jimmy-walsh-652977,M,20221208,E,200,Y,150.99,24.0,24.0,24.0
josh-weinstock-1,M,20221208,E,200,Y,175.01,0.0,0.0,0.0
john-sahl-1,M,20221213,E,200,Y,126.32,89.0,89.0,89.0
john-bulthuis-1,M,20230124,E,200,Y,119.71,111.0,111.0,111.0
brendan-cahill,M,20230105,E,200,Y,170.71,0.0,0.0,0.0
josh-weinstock-1,M,20221220,A,50,Y,32.11,0.0,0.0,0.0
john-sahl-1,M,20221208,A,50,Y,22.95,104.0,104.0,104.0
kyle-graybill-3,M,20230117,A,50,Y,22.48,112.0,112.0,112.0
michael-tayoun-1,M,20221208,A,50,Y,36.74,0.0,0.0,0.0
tommy-pham,M,20221220,A,50,Y,24.62,78.0,78.0,78.0
jake-downing-2,M,20230124,A,50,Y,25.45,66.0,66.0,66.0
blaise-kurtz-1,M,20221220,A,50,Y,26.87,48.0,48.0,48.0
omar-dewiar-1,M,20230124,A,50,Y,27.37,42.0,42.0,42.0
jimmy-downing-2,M,20221213,A,50,Y,33.86,0.0,0.0,0.0
jason-lieu,M,20221213,D,100,Y,62.78,59.0,59.0,59.0
james-haney,M,20230110,D,100,Y,51.92,126.0,126.0,126.0
jimmy-walsh-652977,M,20230105,D,100,Y,67.45,36.0,36.0,36.0
kyle-graybill-3,M,20221220,D,100,Y,66.89,39.0,39.0,39.0
tommy-pham,M,20221222,D,100,Y,59.43,77.0,77.0,77.0
blaise-kurtz-1,M,20230105,D,100,Y,85.82,0.0,0.0,0.0
brendan-cahill,M,20230124,D,100,Y,89.27,0.0,0.0,0.0
jimmy-walsh-652977,M,20221220,A,100,Y,59.8,40.0,40.0,40.0
john-sahl-1,M,20221220,A,100,Y,49.79,106.0,106.0,106.0
kyle-graybill-3,M,20230110,A,100,Y,52.65,85.0,85.0,85.0
jake-downing-2,M,20221208,A,100,Y,61.94,29.0,29.0,29.0
blaise-kurtz-1,M,20230117,A,100,Y,62.63,26.0,26.0,26.0
omar-dewiar-1,M,20230110,A,100,Y,64.83,15.0,15.0,15.0
jackson-barrie,M,20230105,A,100,Y,69.73,0.0,0.0,0.0
brendan-cahill,M,20230110,A,100,Y,65.36,12.0,12.0,12.0
james-haney,M,20221213,A,500,Y,295.33,106.0,106.0,106.0
josh-weinstock-1,M,20230110,A,500,Y,400.42,0.0,0.0,0.0
john-sahl-1,M,20221222,A,500,Y,315.33,79.0,79.0,79.0
tommy-pham,M,20221220,A,500,Y,352.61,38.0,38.0,38.0
blaise-kurtz-1,M,20230105,A,500,Y,405.62,0.0,0.0,0.0
john-bulthuis-1,M,20221220,A,500,Y,394.85,0.0,0.0,0.0
aaron-simpson-1,M,20221222,A,500,Y,428.42,0.0,0.0,0.0
jackson-barrie,M,20230124,A,500,Y,451.07,0.0,0.0,0.0
jimmy-downing-2,M,20221220,A,500,Y,383.01,10.0,10.0,10.0
brendan-cahill,M,20230117,A,500,Y,427.32,0.0,0.0,0.0
jason-lieu,M,20230110,B,100,Y,62.03,74.0,74.0,74.0
james-haney,M,20230105,B,100,Y,52.13,130.0,130.0,130.0
jimmy-walsh-652977,M,20230124,B,100,Y,72.17,33.0,33.0,33.0
josh-weinstock-1,M,20221213,B,100,Y,85.78,0.0,0.0,0.0
john-sahl-1,M,20221220,B,100,Y,57.91,95.0,95.0,95.0
kyle-graybill-3,M,20221220,B,100,Y,67.12,52.0,52.0,52.0
tommy-pham,M,20230124,B,100,Y,64.22,64.0,64.0,64.0
blaise-kurtz-1,M,20230110,B,100,Y,82.64,0.0,0.0,0.0
john-bulthuis-1,M,20221222,B,100,Y,85.42,0.0,0.0,0.0
aaron-simpson-1,M,20221208,B,100,Y,89.13,0.0,0.0,0.0
jimmy-downing-2,M,20230117,B,100,Y,83.28,0.0,0.0,0.0
james-haney,M,20221220,C,100,Y,62.48,106.0,106.0,106.0
josh-weinstock-1,M,20230110,C,100,Y,81.77,19.0,19.0,19.0
john-sahl-1,M,20230124,C,100,Y,66.64,83.0,83.0,83.0
blaise-kurtz-1,M,20221208,C,100,Y,89.37,0.0,0.0,0.0
aaron-simpson-1,M,20230110,C,100,Y,77.77,33.0,33.0,33.0
brendan-cahill,M,20221213,C,100,Y,88.08,0.0,0.0,0.0
