id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
thomas-george-2,M,20221215,A,200,Y,154.93,0.0,0.0,0.0
deaglan-connolly,M,20221208,A,200,Y,182.08,0.0,0.0,0.0
aden-rella,M,20230124,A,200,Y,142.51,8.0,8.0,8.0
asher-cloupe,M,20230109,A,200,Y,195.65,0.0,0.0,0.0
vincent-baracia,M,20230105,A,200,Y,163.72,0.0,0.0,0.0
ryan-miller-18,M,20230112,A,200,Y,195.57,0.0,0.0,0.0
ryan-paramonte,M,20230124,A,200,Y,153.19,0.0,0.0,0.0
william-roller,M,20221215,A,200,Y,205.0,0.0,0.0,0.0
santiago-valencia,M,20230112,A,200,Y,199.29,0.0,0.0,0.0
myles-laughlin,M,20230112,E,200,Y,162.53,0.0,0.0,0.0
kyle-kachoogian,M,20230124,E,200,Y,159.85,5.0,5.0,5.0
aden-rella,M,20221222,E,200,Y,180.99,0.0,0.0,0.0
vincent-vargas-1,M,20230119,E,200,Y,190.4,0.0,0.0,0.0
ryan-paramonte,M,20230109,E,200,Y,215.39,0.0,0.0,0.0
thomas-george-2,M,20221215,A,50,Y,28.17,33.0,33.0,33.0
asher-cloupe,M,20221222,A,50,Y,24.72,77.0,77.0,77.0
ian-ammeraal,M,20230119,A,50,Y,32.94,0.0,0.0,0.0
vincent-baracia,M,20230119,A,50,Y,28.76,27.0,27.0,27.0
ryan-miller-18,M,20221222,A,50,Y,38.97,0.0,0.0,0.0
zachary-hoheb,M,20230124,A,50,Y,28.33,31.0,31.0,31.0
william-roller,M,20221213,A,50,Y,32.29,0.0,0.0,0.0
santiago-valencia,M,20230124,A,50,Y,33.63,0.0,0.0,0.0
isaac-soriano,M,20230105,A,50,Y,54.0,0.0,0.0,0.0
deaglan-connolly,M,20230124,D,100,Y,77.51,0.0,0.0,0.0
myles-laughlin,M,20230105,D,100,Y,86.24,0.0,0.0,0.0
kyle-kachoogian,M,20230119,D,100,Y,76.68,0.0,0.0,0.0
vincent-baracia,M,20230124,D,100,Y,91.11,0.0,0.0,0.0
thomas-george-2,M,20221208,A,100,Y,66.55,7.0,7.0,7.0
asher-cloupe,M,20230112,A,100,Y,55.94,63.0,63.0,63.0
ian-ammeraal,M,20230105,A,100,Y,80.59,0.0,0.0,0.0
vincent-baracia,M,20230109,A,100,Y,72.87,0.0,0.0,0.0
dylan-coelho,M,20221208,A,100,Y,79.23,0.0,0.0,0.0
ryan-miller-18,M,20221213,A,100,Y,92.01,0.0,0.0,0.0
zachary-hoheb,M,20230119,A,100,Y,68.02,1.0,1.0,1.0
william-roller,M,20221222,A,100,Y,98.6,0.0,0.0,0.0
santiago-valencia,M,20230105,A,100,Y,82.23,0.0,0.0,0.0
nicholas-esteves,M,20230105,A,100,Y,86.05,0.0,0.0,0.0
myles-laughlin,M,20230112,A,500,Y,404.94,0.0,0.0,0.0
aden-rella,M,20230124,A,500,Y,386.04,7.0,7.0,7.0
asher-cloupe,M,20221213,A,500,Y,387.07,6.0,6.0,6.0
vincent-vargas-1,M,20230105,A,500,Y,458.45,0.0,0.0,0.0
ryan-paramonte,M,20230124,A,500,Y,422.33,0.0,0.0,0.0
santiago-valencia,M,20221213,A,500,Y,553.25,0.0,0.0,0.0
deaglan-connolly,M,20221222,B,100,Y,121.73,0.0,0.0,0.0
vincent-baracia,M,20230112,B,100,Y,102.61,0.0,0.0,0.0
ryan-miller-18,M,20230124,B,100,Y,102.98,0.0,0.0,0.0
vincent-vargas-1,M,20230124,B,100,Y,84.66,0.0,0.0,0.0
george-khalil,M,20230124,B,100,Y,88.84,0.0,0.0,0.0
asher-cloupe,M,20230112,C,100,Y,76.28,39.0,39.0,39.0
dylan-coelho,M,20221208,C,100,Y,104.4,0.0,0.0,0.0
thomas-delia-1,M,20230124,C,100,Y,86.36,4.0,4.0,4.0
nicholas-esteves,M,20230124,C,100,Y,95.27,0.0,0.0,0.0
