id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
jakub-szulimowski,M,20221214,A,200,Y,117.66,75.0,75.0,75.0
kaitlyn-oneil-1,M,20230113,A,200,Y,128.44,43.0,43.0,43.0
cassie-gloster,M,20230125,A,200,Y,156.05,0.0,0.0,0.0
kathleen-oneill-1,M,20230125,A,200,Y,137.88,19.0,19.0,19.0
kaitlyn-oneil-1,M,20221214,E,200,Y,163.69,0.0,0.0,0.0
alex-martino,M,20230111,E,200,Y,150.91,24.0,24.0,24.0
leanne-dailey,M,20230123,E,200,Y,156.01,13.0,13.0,13.0
robert-rooney,M,20221214,E,200,Y,175.5,0.0,0.0,0.0
isabella-lopez-2,M,20230125,E,200,Y,153.28,19.0,19.0,19.0
cesar-rodriquez,M,20230118,E,200,Y,167.29,0.0,0.0,0.0
jakub-szulimowski,M,20221209,A,50,Y,24.87,74.0,74.0,74.0
robert-rooney,M,20230125,A,50,Y,32.74,0.0,0.0,0.0
brandon-arce,M,20230123,A,50,Y,32.95,0.0,0.0,0.0
alex-kefalas,M,20221214,A,50,Y,38.96,0.0,0.0,0.0
dean-warnick,M,20230113,A,50,Y,35.45,0.0,0.0,0.0
jayden-birnbaum,M,20230125,A,50,Y,28.49,29.0,29.0,29.0
robert-gonor,M,20221214,A,50,Y,38.81,0.0,0.0,0.0
ryan-wojciechowski,M,20230111,A,50,Y,30.07,13.0,13.0,13.0
adrianna-pereira,M,20230123,A,50,Y,40.56,0.0,0.0,0.0
jakub-szulimowski,M,20230123,D,100,Y,63.26,56.0,56.0,56.0
robert-rooney,M,20230113,D,100,Y,69.2,29.0,29.0,29.0
isabella-lopez-2,M,20230125,D,100,Y,109.96,0.0,0.0,0.0
jakub-szulimowski,M,20230125,A,100,Y,52.31,87.0,87.0,87.0
alex-martino,M,20230123,A,100,Y,61.1,33.0,33.0,33.0
brandon-arce,M,20230123,A,100,Y,85.28,0.0,0.0,0.0
isabella-lopez-2,M,20230118,A,100,Y,74.58,0.0,0.0,0.0
dean-warnick,M,20230123,A,100,Y,74.5,0.0,0.0,0.0
jayden-birnbaum,M,20221214,A,100,Y,80.61,0.0,0.0,0.0
robert-gonor,M,20230113,A,100,Y,95.25,0.0,0.0,0.0
kai-caro,M,20230125,A,100,Y,89.09,0.0,0.0,0.0
kaitlyn-oneil-1,M,20230113,A,500,Y,384.1,9.0,9.0,9.0
leanne-dailey,M,20230123,A,500,Y,370.46,21.0,21.0,21.0
kathleen-oneill-1,M,20221209,A,500,Y,421.3,0.0,0.0,0.0
alex-kefalas,M,20230125,A,500,Y,595.99,0.0,0.0,0.0
jakub-szulimowski,M,20230113,B,100,Y,63.97,65.0,65.0,65.0
kaitlyn-oneil-1,M,20230123,B,100,Y,76.81,17.0,17.0,17.0
alex-martino,M,20230118,B,100,Y,77.94,14.0,14.0,14.0
cassie-gloster,M,20221209,B,100,Y,85.7,0.0,0.0,0.0
isabella-lopez-2,M,20230123,B,100,Y,92.45,0.0,0.0,0.0
kai-caro,M,20221214,B,100,Y,118.87,0.0,0.0,0.0
ryan-wojciechowski,M,20230123,B,100,Y,78.33,12.0,12.0,12.0
jakub-szulimowski,M,20230118,C,100,Y,70.0,66.0,66.0,66.0
leanne-dailey,M,20230118,C,100,Y,82.19,17.0,17.0,17.0
kathleen-oneill-1,M,20221214,C,100,Y,85.32,7.0,7.0,7.0
jayden-birnbaum,M,20230111,C,100,Y,100.11,0.0,0.0,0.0
ryan-wojciechowski,M,20221214,C,100,Y,83.45,13.0,13.0,13.0
cesar-rodriquez,M,20230118,C,100,Y,75.22,43.0,43.0,43.0
mira-faustino,M,20230123,C,100,Y,104.38,0.0,0.0,0.0
