id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
alexander-amoresano,M,20221208,A,200,Y,135.84,24.0,24.0,24.0
jonathan-callanan,M,20230127,A,200,Y,139.97,14.0,14.0,14.0
grant-zou,M,20221208,A,200,Y,157.35,0.0,0.0,0.0
grant-nelson,M,20230110,A,200,Y,154.54,0.0,0.0,0.0
neal-maheshwart,M,20230118,A,200,Y,143.05,7.0,7.0,7.0
adam-trinh,M,20230118,A,200,Y,141.07,11.0,11.0,11.0
ryan-haberman,M,20230117,A,200,Y,166.1,0.0,0.0,0.0
ricky-sannito,M,20221215,A,200,Y,161.35,0.0,0.0,0.0
roderick-chu,M,20221215,A,200,Y,192.26,0.0,0.0,0.0
nicolas-mixich,M,20230127,A,200,Y,171.02,0.0,0.0,0.0
scott-hunter,M,20230118,A,200,Y,158.13,0.0,0.0,0.0
grant-zou,M,20230123,E,200,Y,157.29,10.0,10.0,10.0
grant-nelson,M,20221208,E,200,Y,178.07,0.0,0.0,0.0
alex-fu,M,20221208,E,200,Y,137.4,57.0,57.0,57.0
ian-cynk,M,20230118,E,200,Y,163.28,0.0,0.0,0.0
neal-maheshwart,M,20221215,E,200,Y,173.14,0.0,0.0,0.0
thien-tran,M,20230118,E,200,Y,127.43,86.0,86.0,86.0
jack-lowinger,M,20230117,E,200,Y,177.95,0.0,0.0,0.0
nicolas-mixich,M,20221215,E,200,Y,198.33,0.0,0.0,0.0
alexander-amoresano,M,20230118,A,50,Y,25.89,60.0,60.0,60.0
jonathan-callanan,M,20230117,A,50,Y,27.19,44.0,44.0,44.0
grant-zou,M,20230117,A,50,Y,26.68,50.0,50.0,50.0
grant-nelson,M,20230118,A,50,Y,26.05,58.0,58.0,58.0
neal-maheshwart,M,20221208,A,50,Y,25.56,65.0,65.0,65.0
thien-tran,M,20230123,A,50,Y,22.73,108.0,108.0,108.0
adam-trinh,M,20230123,A,50,Y,23.91,89.0,89.0,89.0
francis-murray,M,20230127,A,50,Y,26.15,57.0,57.0,57.0
jack-lowinger,M,20230123,A,50,Y,26.79,49.0,49.0,49.0
anthony-pandullo,M,20221215,A,50,Y,35.1,0.0,0.0,0.0
scott-hunter,M,20230117,A,50,Y,29.86,15.0,15.0,15.0
jonathan-callanan,M,20230117,D,100,Y,64.77,49.0,49.0,49.0
grant-nelson,M,20230118,D,100,Y,73.58,11.0,11.0,11.0
ian-cynk,M,20230127,D,100,Y,78.04,0.0,0.0,0.0
thien-tran,M,20230123,D,100,Y,54.84,105.0,105.0,105.0
ryan-haberman,M,20230123,D,100,Y,72.23,17.0,17.0,17.0
francis-murray,M,20230110,D,100,Y,65.56,45.0,45.0,45.0
scott-hunter,M,20230110,D,100,Y,90.04,0.0,0.0,0.0
mason-gurney,M,20230118,D,100,Y,85.98,0.0,0.0,0.0
alexander-amoresano,M,20230110,A,100,Y,59.17,44.0,44.0,44.0
grant-nelson,M,20230127,A,100,Y,67.0,5.0,5.0,5.0
ian-cynk,M,20230110,A,100,Y,66.75,6.0,6.0,6.0
neal-maheshwart,M,20230118,A,100,Y,58.61,47.0,47.0,47.0
thien-tran,M,20230118,A,100,Y,50.98,97.0,97.0,97.0
ryan-haberman,M,20230127,A,100,Y,64.13,18.0,18.0,18.0
francis-murray,M,20221208,A,100,Y,58.92,45.0,45.0,45.0
jack-lowinger,M,20230127,A,100,Y,58.81,46.0,46.0,46.0
anthony-pandullo,M,20230117,A,100,Y,88.07,0.0,0.0,0.0
scott-hunter,M,20221215,A,100,Y,68.73,0.0,0.0,0.0
mason-gurney,M,20230123,A,100,Y,71.3,0.0,0.0,0.0
alexander-amoresano,M,20230118,A,500,Y,369.61,22.0,22.0,22.0
grant-zou,M,20230118,A,500,Y,426.7,0.0,0.0,0.0
grant-nelson,M,20230117,A,500,Y,449.13,0.0,0.0,0.0
neal-maheshwart,M,20230127,A,500,Y,382.89,10.0,10.0,10.0
ricky-sannito,M,20221215,A,500,Y,430.84,0.0,0.0,0.0
roderick-chu,M,20230117,A,500,Y,512.58,0.0,0.0,0.0
scott-hunter,M,20230127,A,500,Y,413.21,0.0,0.0,0.0
grant-zou,M,20230110,B,100,Y,71.84,34.0,34.0,34.0
neal-maheshwart,M,20230117,B,100,Y,65.31,59.0,59.0,59.0
ryan-haberman,M,20221208,B,100,Y,92.4,0.0,0.0,0.0
jack-lowinger,M,20230118,B,100,Y,78.44,12.0,12.0,12.0
roderick-chu,M,20230110,B,100,Y,101.18,0.0,0.0,0.0
nicolas-mixich,M,20230118,B,100,Y,83.2,0.0,0.0,0.0
grant-nelson,M,20230117,C,100,Y,89.24,0.0,0.0,0.0
alex-fu,M,20230123,C,100,Y,69.69,68.0,68.0,68.0
ian-cynk,M,20230117,C,100,Y,90.06,0.0,0.0,0.0
adam-trinh,M,20221208,C,100,Y,72.38,56.0,56.0,56.0
francis-murray,M,20230123,C,100,Y,76.93,37.0,37.0,37.0
anthony-pandullo,M,20230118,C,100,Y,101.33,0.0,0.0,0.0
mason-gurney,M,20230117,C,100,Y,89.05,0.0,0.0,0.0
