id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
justin-john-2,M,20230123,A,200,Y,172.07,0.0,0.0,0.0
joseph-huang,M,20230115,A,200,Y,158.55,0.0,0.0,0.0
marco-gualda,M,20230104,A,200,Y,188.68,0.0,0.0,0.0
danny-franzen,M,20230123,A,200,Y,162.22,0.0,0.0,0.0
owen-elkin,M,20221218,A,200,Y,164.9,0.0,0.0,0.0
constantine-rutigliano,M,20221217,A,200,Y,200.78,0.0,0.0,0.0
justin-john-2,M,20230123,E,200,Y,233.46,0.0,0.0,0.0
joshua-oring,M,20221221,E,200,Y,174.5,0.0,0.0,0.0
warren-hsu,M,20221218,E,200,Y,135.19,63.0,63.0,63.0
jack-tanen,M,20221221,E,200,Y,179.08,0.0,0.0,0.0
joseph-huang,M,20230104,A,50,Y,30.84,6.0,6.0,6.0
joshua-oring,M,20221208,A,50,Y,29.0,24.0,24.0,24.0
aslan-aydin,M,20221208,A,50,Y,28.71,27.0,27.0,27.0
misha-callaway,M,20221208,A,50,Y,31.09,4.0,4.0,4.0
marco-gualda,M,20230115,A,50,Y,30.12,13.0,13.0,13.0
constantine-rutigliano,M,20221221,A,50,Y,35.5,0.0,0.0,0.0
daniel-kelly-7,M,20230115,A,50,Y,26.92,47.0,47.0,47.0
justin-john-2,M,20230115,D,100,Y,86.09,0.0,0.0,0.0
joseph-huang,M,20230115,D,100,Y,92.7,0.0,0.0,0.0
joshua-oring,M,20230104,D,100,Y,84.21,0.0,0.0,0.0
warren-hsu,M,20221218,D,100,Y,59.96,74.0,74.0,74.0
marco-gualda,M,20230104,D,100,Y,103.0,0.0,0.0,0.0
justin-john-2,M,20221221,A,100,Y,83.65,0.0,0.0,0.0
joseph-huang,M,20221208,A,100,Y,68.7,0.0,0.0,0.0
misha-callaway,M,20230104,A,100,Y,75.0,0.0,0.0,0.0
marco-gualda,M,20230123,A,100,Y,71.42,0.0,0.0,0.0
amir-rakimov,M,20221218,A,100,Y,55.97,63.0,63.0,63.0
danny-franzen,M,20230104,A,100,Y,63.05,23.0,23.0,23.0
owen-elkin,M,20230115,A,100,Y,68.61,0.0,0.0,0.0
constantine-rutigliano,M,20221221,A,100,Y,81.84,0.0,0.0,0.0
daniel-kelly-7,M,20221217,A,100,Y,69.45,0.0,0.0,0.0
jack-tanen,M,20230123,A,100,Y,66.51,7.0,7.0,7.0
joseph-huang,M,20230123,A,500,Y,464.39,0.0,0.0,0.0
joshua-oring,M,20221218,A,500,Y,485.97,0.0,0.0,0.0
warren-hsu,M,20230104,A,500,Y,313.88,81.0,81.0,81.0
amir-rakimov,M,20230104,A,500,Y,329.0,63.0,63.0,63.0
owen-elkin,M,20230123,A,500,Y,455.32,0.0,0.0,0.0
justin-john-2,M,20221217,B,100,Y,119.51,0.0,0.0,0.0
misha-callaway,M,20230123,B,100,Y,95.22,0.0,0.0,0.0
danny-franzen,M,20221221,B,100,Y,84.13,0.0,0.0,0.0
owen-elkin,M,20230123,B,100,Y,76.88,17.0,17.0,17.0
constantine-rutigliano,M,20221208,B,100,Y,91.34,0.0,0.0,0.0
jack-tanen,M,20221218,B,100,Y,93.57,0.0,0.0,0.0
aslan-aydin,M,20221221,C,100,Y,97.62,0.0,0.0,0.0
marco-gualda,M,20221218,C,100,Y,146.85,0.0,0.0,0.0
amir-rakimov,M,20221208,C,100,Y,70.98,62.0,62.0,62.0
constantine-rutigliano,M,20230104,C,100,Y,119.07,0.0,0.0,0.0
daniel-kelly-7,M,20230115,C,100,Y,82.19,17.0,17.0,17.0
jack-tanen,M,20221221,C,100,Y,91.18,0.0,0.0,0.0
