id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
derin-ozbas,M,20230124,A,200,Y,106.28,115.0,115.0,115.0
john-eodice,M,20230105,A,200,Y,115.32,82.0,82.0,82.0
aaron-soybel,M,20221213,A,200,Y,119.32,69.0,69.0,69.0
ryan-wargo-1,M,20230126,A,200,Y,123.9,55.0,55.0,55.0
joe-mcmheshey,M,20221222,A,200,Y,107.9,109.0,109.0,109.0
gavin-grouser,M,20230126,A,200,Y,117.43,75.0,75.0,75.0
ethan-myts,M,20221220,A,200,Y,116.65,78.0,78.0,78.0
zohair-moin,M,20230126,A,200,Y,150.13,0.0,0.0,0.0
aaron-soybel,M,20221220,E,200,Y,131.07,75.0,75.0,75.0
veer-misra,M,20230124,E,200,Y,120.84,107.0,107.0,107.0
laurent-banville,M,20221220,E,200,Y,125.02,93.0,93.0,93.0
ryan-wargo-1,M,20221213,E,200,Y,133.93,66.0,66.0,66.0
gavin-grouser,M,20230103,E,200,Y,135.3,63.0,63.0,63.0
viraj-misra,M,20230103,E,200,Y,135.56,62.0,62.0,62.0
kyle-colipano,M,20230126,E,200,Y,136.74,59.0,59.0,59.0
max-chen,M,20230126,E,200,Y,138.38,54.0,54.0,54.0
andy-gao,M,20230126,E,200,Y,148.0,30.0,30.0,30.0
derin-ozbas,M,20221222,A,50,Y,22.88,105.0,105.0,105.0
joe-mcmheshey,M,20221220,A,50,Y,21.38,132.0,132.0,132.0
jaden-wang,M,20230110,A,50,Y,23.21,100.0,100.0,100.0
om-mahajan,M,20221213,A,50,Y,24.02,87.0,87.0,87.0
diego-burgos,M,20221220,A,50,Y,23.75,91.0,91.0,91.0
mark-ward,M,20230126,A,50,Y,24.71,77.0,77.0,77.0
raunaq-singh,M,20230126,A,50,Y,25.7,63.0,63.0,63.0
tommy-marcketta,M,20230126,A,50,Y,32.1,0.0,0.0,0.0
derin-ozbas,M,20230103,D,100,Y,54.14,110.0,110.0,110.0
john-eodice,M,20230126,D,100,Y,61.98,63.0,63.0,63.0
laurent-banville,M,20230126,D,100,Y,59.84,75.0,75.0,75.0
ryan-wargo-1,M,20230103,D,100,Y,56.43,95.0,95.0,95.0
joe-mcmheshey,M,20221220,D,100,Y,52.34,123.0,123.0,123.0
gavin-grouser,M,20230110,D,100,Y,57.32,89.0,89.0,89.0
ali-habashi,M,20230126,D,100,Y,64.19,52.0,52.0,52.0
derin-ozbas,M,20221220,A,100,Y,48.55,116.0,116.0,116.0
ryan-wargo-1,M,20221222,A,100,Y,55.39,67.0,67.0,67.0
joe-mcmheshey,M,20230110,A,100,Y,47.84,122.0,122.0,122.0
jaden-wang,M,20230110,A,100,Y,52.09,89.0,89.0,89.0
om-mahajan,M,20230103,A,100,Y,52.15,89.0,89.0,89.0
ethan-myts,M,20230126,A,100,Y,54.23,74.0,74.0,74.0
mark-ward,M,20230126,A,100,Y,57.62,53.0,53.0,53.0
max-chen,M,20221222,A,100,Y,54.94,69.0,69.0,69.0
yash-arora,M,20230126,A,100,Y,59.78,41.0,41.0,41.0
john-eodice,M,20230110,A,500,Y,305.8,92.0,92.0,92.0
aaron-soybel,M,20221220,A,500,Y,310.94,85.0,85.0,85.0
laurent-banville,M,20221222,A,500,Y,319.76,74.0,74.0,74.0
ethan-myts,M,20221220,A,500,Y,313.37,82.0,82.0,82.0
diego-burgos,M,20221213,A,500,Y,326.2,66.0,66.0,66.0
tiago-granados,M,20230126,A,500,Y,333.4,58.0,58.0,58.0
joe-westhusin,M,20230126,A,500,Y,334.51,57.0,57.0,57.0
aaron-soybel,M,20230126,B,100,Y,63.26,69.0,69.0,69.0
laurent-banville,M,20230124,B,100,Y,56.99,100.0,100.0,100.0
ryan-wargo-1,M,20221220,B,100,Y,59.78,85.0,85.0,85.0
om-mahajan,M,20230103,B,100,Y,59.93,85.0,85.0,85.0
treshawn-thathappa,M,20221213,B,100,Y,63.64,67.0,67.0,67.0
rohan-kanduri,M,20221222,B,100,Y,65.31,59.0,59.0,59.0
andy-gao,M,20230126,B,100,Y,68.94,45.0,45.0,45.0
veer-misra,M,20230105,C,100,Y,61.46,112.0,112.0,112.0
ryan-wargo-1,M,20230126,C,100,Y,67.59,78.0,78.0,78.0
viraj-misra,M,20230124,C,100,Y,65.98,87.0,87.0,87.0
kyle-colipano,M,20230103,C,100,Y,64.62,94.0,94.0,94.0
max-chen,M,20230103,C,100,Y,67.9,77.0,77.0,77.0
raunaq-singh,M,20230126,C,100,Y,73.56,50.0,50.0,50.0
andy-gao,M,20221222,C,100,Y,76.39,39.0,39.0,39.0
