id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
brian-yang,M,20221208,A,200,Y,129.83,39.0,39.0,39.0
sean-bramley,M,20221208,A,200,Y,131.06,36.0,36.0,36.0
william-bramley,M,20230107,A,200,Y,137.22,20.0,20.0,20.0
juan-zapateiro,M,20221218,A,200,Y,130.06,38.0,38.0,38.0
kyle-hanna,M,20230124,A,200,Y,130.07,38.0,38.0,38.0
harry-fominykh,M,20221220,A,200,Y,118.52,72.0,72.0,72.0
stephen-sammarco,M,20230124,A,200,Y,166.64,0.0,0.0,0.0
nathan-jeong,M,20221220,A,200,Y,118.39,72.0,72.0,72.0
brian-yang,M,20221218,E,200,Y,132.46,71.0,71.0,71.0
juan-zapateiro,M,20221208,E,200,Y,144.72,38.0,38.0,38.0
kyle-hanna,M,20230105,E,200,Y,148.22,30.0,30.0,30.0
harry-fominykh,M,20221208,E,200,Y,138.0,55.0,55.0,55.0
alex-monastersky-1,M,20221220,E,200,Y,172.16,0.0,0.0,0.0
nathan-jeong,M,20221218,E,200,Y,140.43,49.0,49.0,49.0
brian-yang,M,20230105,A,50,Y,25.02,72.0,72.0,72.0
sean-bramley,M,20221220,A,50,Y,27.83,37.0,37.0,37.0
juan-zapateiro,M,20221220,A,50,Y,26.38,54.0,54.0,54.0
harry-fominykh,M,20230124,A,50,Y,22.59,110.0,110.0,110.0
zachary-berde,M,20230124,A,50,Y,22.99,103.0,103.0,103.0
jack-svorec,M,20221208,A,50,Y,25.26,69.0,69.0,69.0
stephen-sammarco,M,20221218,A,50,Y,31.59,0.0,0.0,0.0
alex-monastersky-1,M,20230107,A,50,Y,23.4,97.0,97.0,97.0
brian-yang,M,20230124,D,100,Y,62.73,59.0,59.0,59.0
sean-bramley,M,20221218,D,100,Y,65.79,44.0,44.0,44.0
kyle-hanna,M,20221218,D,100,Y,66.83,39.0,39.0,39.0
harry-fominykh,M,20230124,D,100,Y,62.34,61.0,61.0,61.0
zachary-berde,M,20230105,D,100,Y,58.74,81.0,81.0,81.0
alex-monastersky-1,M,20230107,D,100,Y,64.0,53.0,53.0,53.0
brian-yang,M,20230107,A,100,Y,53.0,83.0,83.0,83.0
william-bramley,M,20230107,A,100,Y,62.57,26.0,26.0,26.0
juan-zapateiro,M,20230124,A,100,Y,57.45,54.0,54.0,54.0
kyle-hanna,M,20230105,A,100,Y,58.29,49.0,49.0,49.0
zachary-berde,M,20230124,A,100,Y,51.68,92.0,92.0,92.0
jack-svorec,M,20221218,A,100,Y,64.23,18.0,18.0,18.0
stephen-sammarco,M,20230107,A,100,Y,66.77,6.0,6.0,6.0
alex-monastersky-1,M,20230105,A,100,Y,54.26,74.0,74.0,74.0
brian-yang,M,20230105,A,500,Y,343.19,47.0,47.0,47.0
sean-bramley,M,20230107,A,500,Y,357.76,33.0,33.0,33.0
juan-zapateiro,M,20221218,A,500,Y,372.85,19.0,19.0,19.0
zachary-berde,M,20230107,A,500,Y,331.65,60.0,60.0,60.0
brian-yang,M,20221208,B,100,Y,65.53,58.0,58.0,58.0
sean-bramley,M,20230124,B,100,Y,69.53,42.0,42.0,42.0
william-bramley,M,20230105,B,100,Y,84.31,0.0,0.0,0.0
juan-zapateiro,M,20230124,B,100,Y,70.31,39.0,39.0,39.0
kyle-hanna,M,20221218,B,100,Y,72.92,30.0,30.0,30.0
zachary-berde,M,20230107,B,100,Y,64.83,61.0,61.0,61.0
jack-svorec,M,20221208,B,100,Y,67.92,49.0,49.0,49.0
stephen-sammarco,M,20230124,B,100,Y,99.26,0.0,0.0,0.0
alex-monastersky-1,M,20221218,B,100,Y,80.84,5.0,5.0,5.0
nathan-jeong,M,20230105,B,100,Y,62.37,73.0,73.0,73.0
brian-yang,M,20221218,C,100,Y,68.01,76.0,76.0,76.0
william-bramley,M,20221218,C,100,Y,106.09,0.0,0.0,0.0
kyle-hanna,M,20230124,C,100,Y,82.87,15.0,15.0,15.0
harry-fominykh,M,20221208,C,100,Y,68.31,75.0,75.0,75.0
zachary-berde,M,20230105,C,100,Y,68.59,73.0,73.0,73.0
alex-monastersky-1,M,20230105,C,100,Y,82.02,18.0,18.0,18.0
nathan-jeong,M,20230107,C,100,Y,71.7,59.0,59.0,59.0
