id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
alex-ariel,M,20221214,A,200,Y,149.54,0.0,0.0,0.0
giedrius-makselis,M,20221212,A,200,Y,153.97,0.0,0.0,0.0
jake-michalik,M,20221212,A,200,Y,168.26,0.0,0.0,0.0
josh-shufran,M,20221214,A,200,Y,120.01,67.0,67.0,67.0
sameer-hamedeh,M,20230125,A,200,Y,142.54,8.0,8.0,8.0
tyler-stein,M,20230125,A,200,Y,141.04,11.0,11.0,11.0
colin-davis-2,M,20230117,A,200,Y,137.04,21.0,21.0,21.0
griffin-aronson,M,20230103,A,200,Y,139.93,14.0,14.0,14.0
josh-shufran,M,20230130,E,200,Y,145.4,37.0,37.0,37.0
arden-brewster,M,20230113,E,200,Y,158.28,8.0,8.0,8.0
elijah-bal,M,20221214,E,200,Y,209.35,0.0,0.0,0.0
griffin-aronson,M,20230109,E,200,Y,156.19,12.0,12.0,12.0
caeden-mchugh,M,20230117,E,200,Y,184.81,0.0,0.0,0.0
giedrius-makselis,M,20230117,A,50,Y,26.26,56.0,56.0,56.0
alexey-tselichtchev,M,20230125,A,50,Y,23.64,93.0,93.0,93.0
kyle-fosgreen,M,20230113,A,50,Y,24.68,77.0,77.0,77.0
sameer-hamedeh,M,20221212,A,50,Y,26.36,54.0,54.0,54.0
sebastian-bach,M,20230125,A,50,Y,25.96,60.0,60.0,60.0
colin-davis-2,M,20221214,A,50,Y,25.88,61.0,61.0,61.0
jackson-reis,M,20230130,A,50,Y,32.32,0.0,0.0,0.0
arden-brewster,M,20230117,D,100,Y,78.76,0.0,0.0,0.0
alexey-tselichtchev,M,20221212,D,100,Y,62.9,58.0,58.0,58.0
tyler-stein,M,20230125,D,100,Y,74.95,6.0,6.0,6.0
robert-taylor-654573,M,20230113,D,100,Y,79.84,0.0,0.0,0.0
christian-lucky,M,20230117,D,100,Y,92.52,0.0,0.0,0.0
griffin-aronson,M,20230125,D,100,Y,70.72,23.0,23.0,23.0
dean-stahlnecker,M,20230130,D,100,Y,99.68,0.0,0.0,0.0
alex-ariel,M,20230125,A,100,Y,61.16,33.0,33.0,33.0
giedrius-makselis,M,20230113,A,100,Y,61.71,30.0,30.0,30.0
alexey-tselichtchev,M,20230130,A,100,Y,51.13,96.0,96.0,96.0
kyle-fosgreen,M,20230125,A,100,Y,58.47,48.0,48.0,48.0
robert-taylor-654573,M,20230130,A,100,Y,61.2,33.0,33.0,33.0
sebastian-bach,M,20221212,A,100,Y,62.62,26.0,26.0,26.0
colin-davis-2,M,20221221,A,100,Y,58.65,47.0,47.0,47.0
jarret-brooks,M,20221214,A,100,Y,75.03,0.0,0.0,0.0
connor-spencer,M,20230103,A,100,Y,70.95,0.0,0.0,0.0
jake-michalik,M,20230117,A,500,Y,479.65,0.0,0.0,0.0
josh-shufran,M,20221214,A,500,Y,329.94,62.0,62.0,62.0
sameer-hamedeh,M,20221221,A,500,Y,417.11,0.0,0.0,0.0
connor-spencer,M,20230130,A,500,Y,457.95,0.0,0.0,0.0
kyle-fosgreen,M,20230113,B,100,Y,66.28,55.0,55.0,55.0
robert-taylor-654573,M,20230103,B,100,Y,76.25,19.0,19.0,19.0
christian-lucky,M,20230103,B,100,Y,76.25,19.0,19.0,19.0
elijah-bal,M,20230113,B,100,Y,75.65,21.0,21.0,21.0
griffin-aronson,M,20221221,B,100,Y,72.68,31.0,31.0,31.0
alex-ariel,M,20230125,C,100,Y,89.34,0.0,0.0,0.0
arden-brewster,M,20230130,C,100,Y,79.45,27.0,27.0,27.0
alexey-tselichtchev,M,20230130,C,100,Y,64.23,96.0,96.0,96.0
sebastian-bach,M,20221214,C,100,Y,78.05,32.0,32.0,32.0
drew-barocas,M,20230103,C,100,Y,88.32,0.0,0.0,0.0
nick-pearson-1,M,20230109,C,100,Y,119.11,0.0,0.0,0.0
ryan-keely,M,20230130,C,100,Y,84.22,10.0,10.0,10.0
