id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
aidan-araza,M,20221215,A,200,Y,165.26,0.0,0.0,0.0
nady-abdelmesih,M,20230126,A,200,Y,131.54,34.0,34.0,34.0
moad-berlarbi,M,20221228,A,200,Y,172.97,0.0,0.0,0.0
ethan-ramos-661665,M,20230127,A,200,Y,229.9,0.0,0.0,0.0
moad-berlarbi,M,20230126,E,200,Y,145.47,36.0,36.0,36.0
nady-abdelmesih,M,20221228,A,50,Y,30.85,6.0,6.0,6.0
moad-berlarbi,M,20221215,A,50,Y,30.85,6.0,6.0,6.0
angel-salamanca,M,20230117,A,50,Y,30.02,14.0,14.0,14.0
adam-alehiane,M,20230117,A,50,Y,28.69,27.0,27.0,27.0
aidan-araza,M,20230126,A,100,Y,72.61,0.0,0.0,0.0
nady-abdelmesih,M,20221215,A,100,Y,68.42,0.0,0.0,0.0
moad-berlarbi,M,20221221,A,100,Y,71.43,0.0,0.0,0.0
angel-salamanca,M,20230127,A,100,Y,78.7,0.0,0.0,0.0
jayden-martinez-5,M,20230117,A,100,Y,80.0,0.0,0.0,0.0
adam-alehiane,M,20230126,A,100,Y,65.8,10.0,10.0,10.0
nady-abdelmesih,M,20230110,A,500,Y,373.11,18.0,18.0,18.0
moad-berlarbi,M,20230126,A,500,Y,569.16,0.0,0.0,0.0
ethan-ramos-661665,M,20230117,A,500,Y,599.99,0.0,0.0,0.0
aidan-araza,M,20230103,B,100,Y,136.0,0.0,0.0,0.0
angel-salamanca,M,20230126,B,100,Y,81.77,3.0,3.0,3.0
jayden-martinez-5,M,20230126,B,100,Y,91.13,0.0,0.0,0.0
adam-alehiane,M,20221221,C,100,Y,125.48,0.0,0.0,0.0
ethan-ramos-661665,M,20230126,C,100,Y,140.38,0.0,0.0,0.0
janeris-cada,M,20230126,C,100,Y,99.07,0.0,0.0,0.0
