id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
noah-tallman,M,20230112,A,200,Y,140.61,12.0,12.0,12.0
cody-karolkiewicz,M,20230106,A,200,Y,133.6,29.0,29.0,29.0
silas-committee,M,20230112,A,200,Y,127.13,46.0,46.0,46.0
jacob-werner,M,20221213,A,200,Y,124.46,54.0,54.0,54.0
turner-ryon,M,20230127,A,200,Y,127.53,45.0,45.0,45.0
nick-napolitano-1,M,20221213,A,200,Y,140.19,13.0,13.0,13.0
enzo-russino,M,20230127,A,200,Y,127.51,45.0,45.0,45.0
jacob-king-3,M,20230112,A,200,Y,123.41,57.0,57.0,57.0
justin-pollina,M,20230117,A,200,Y,133.6,29.0,29.0,29.0
jacob-werner,M,20230112,E,200,Y,138.3,54.0,54.0,54.0
turner-ryon,M,20230106,E,200,Y,150.13,26.0,26.0,26.0
jacob-king-3,M,20230127,E,200,Y,139.79,51.0,51.0,51.0
owen-dinapoli,M,20230106,E,200,Y,155.37,14.0,14.0,14.0
luke-plesniarski,M,20221229,E,200,Y,168.99,0.0,0.0,0.0
guy-devita,M,20230106,E,200,Y,137.76,56.0,56.0,56.0
jack-delaney-651279,M,20221229,E,200,Y,152.56,20.0,20.0,20.0
jacob-werner,M,20230117,A,50,Y,24.19,84.0,84.0,84.0
tizian-havranek,M,20221209,A,50,Y,24.87,74.0,74.0,74.0
nick-napolitano-1,M,20230117,A,50,Y,24.6,78.0,78.0,78.0
sean-kahl,M,20230127,A,50,Y,23.75,91.0,91.0,91.0
jack-delaney-651279,M,20230106,A,50,Y,25.43,67.0,67.0,67.0
gianni-petti,M,20221213,A,50,Y,28.31,31.0,31.0,31.0
yaroslav-soria,M,20230112,A,50,Y,25.21,70.0,70.0,70.0
silas-committee,M,20230117,D,100,Y,65.95,43.0,43.0,43.0
jacob-werner,M,20221229,D,100,Y,63.88,53.0,53.0,53.0
sean-hanvey,M,20221209,D,100,Y,84.09,0.0,0.0,0.0
enzo-russino,M,20230112,D,100,Y,64.4,51.0,51.0,51.0
jacob-king-3,M,20230106,D,100,Y,63.77,54.0,54.0,54.0
guy-devita,M,20230117,D,100,Y,66.8,39.0,39.0,39.0
dom-mazzella-1,M,20221213,D,100,Y,74.95,6.0,6.0,6.0
cody-karolkiewicz,M,20230117,A,100,Y,61.71,30.0,30.0,30.0
jacob-werner,M,20221213,A,100,Y,55.34,67.0,67.0,67.0
turner-ryon,M,20230106,A,100,Y,58.63,47.0,47.0,47.0
tizian-havranek,M,20221213,A,100,Y,55.72,64.0,64.0,64.0
nick-napolitano-1,M,20221209,A,100,Y,58.79,46.0,46.0,46.0
sean-kahl,M,20230117,A,100,Y,53.67,78.0,78.0,78.0
enzo-russino,M,20230112,A,100,Y,55.01,69.0,69.0,69.0
guy-devita,M,20221229,A,100,Y,56.87,57.0,57.0,57.0
jack-delaney-651279,M,20230123,A,100,Y,58.0,51.0,51.0,51.0
yaroslav-soria,M,20230112,A,100,Y,56.16,62.0,62.0,62.0
silas-committee,M,20230106,A,500,Y,378.81,13.0,13.0,13.0
jacob-werner,M,20221209,A,500,Y,347.12,43.0,43.0,43.0
turner-ryon,M,20230127,A,500,Y,366.34,25.0,25.0,25.0
sean-kahl,M,20221229,A,500,Y,387.23,6.0,6.0,6.0
jacob-king-3,M,20221209,A,500,Y,340.96,50.0,50.0,50.0
justin-pollina,M,20230112,A,500,Y,365.83,25.0,25.0,25.0
owen-dinapoli,M,20230123,A,500,Y,353.81,37.0,37.0,37.0
aiden-saropoulos,M,20230123,A,500,Y,422.06,0.0,0.0,0.0
harrison-marti,M,20230117,A,500,Y,403.31,0.0,0.0,0.0
cody-karolkiewicz,M,20230112,B,100,Y,67.26,51.0,51.0,51.0
jacob-werner,M,20230117,B,100,Y,64.06,65.0,65.0,65.0
enzo-russino,M,20230112,B,100,Y,69.84,41.0,41.0,41.0
jacob-king-3,M,20230106,B,100,Y,65.59,58.0,58.0,58.0
owen-dinapoli,M,20221209,B,100,Y,74.09,26.0,26.0,26.0
luke-plesniarski,M,20230106,B,100,Y,69.56,42.0,42.0,42.0
colin-markowski,M,20221213,B,100,Y,87.22,0.0,0.0,0.0
noah-tallman,M,20230112,C,100,Y,81.48,20.0,20.0,20.0
silas-committee,M,20221229,C,100,Y,77.04,36.0,36.0,36.0
jacob-werner,M,20230123,C,100,Y,74.69,46.0,46.0,46.0
turner-ryon,M,20230112,C,100,Y,80.81,22.0,22.0,22.0
sean-hanvey,M,20221229,C,100,Y,77.01,36.0,36.0,36.0
justin-pollina,M,20230127,C,100,Y,73.48,51.0,51.0,51.0
guy-devita,M,20230106,C,100,Y,70.09,66.0,66.0,66.0
