id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
deavin-santos,M,20221220,A,200,Y,152.22,0.0,0.0,0.0
keegen-byrne,M,20230105,A,200,Y,123.92,55.0,55.0,55.0
quinn-feeney,M,20230127,A,200,Y,142.41,8.0,8.0,8.0
james-hackett-1,M,20221216,A,200,Y,119.28,69.0,69.0,69.0
james-otoole-654398,M,20230123,A,200,Y,130.34,38.0,38.0,38.0
tanner-vallio,M,20221216,A,200,Y,144.35,4.0,4.0,4.0
christian-laforge,M,20230113,A,200,Y,148.04,0.0,0.0,0.0
connor-cole,M,20230120,A,200,Y,124.1,55.0,55.0,55.0
cade-saito,M,20230127,A,200,Y,131.54,34.0,34.0,34.0
finian-healey,M,20230120,A,200,Y,146.05,0.0,0.0,0.0
mike-loffredo,M,20230126,A,200,Y,153.04,0.0,0.0,0.0
donovan-brown,M,20230113,A,200,Y,126.86,47.0,47.0,47.0
shep-cooper,M,20230113,A,200,Y,144.53,4.0,4.0,4.0
keegen-byrne,M,20230103,E,200,Y,142.19,44.0,44.0,44.0
james-hackett-1,M,20221220,E,200,Y,127.0,87.0,87.0,87.0
james-otoole-654398,M,20230105,E,200,Y,145.21,37.0,37.0,37.0
eddie-gunnell,M,20221216,E,200,Y,155.52,14.0,14.0,14.0
connor-cole,M,20230105,E,200,Y,137.81,56.0,56.0,56.0
cade-saito,M,20221216,E,200,Y,144.53,39.0,39.0,39.0
donovan-brown,M,20230127,E,200,Y,150.15,25.0,25.0,25.0
quinn-feeney,M,20230103,A,50,Y,29.06,23.0,23.0,23.0
eddie-gunnell,M,20230127,A,50,Y,25.44,66.0,66.0,66.0
daemion-santos,M,20221216,A,50,Y,24.25,83.0,83.0,83.0
tanner-vallio,M,20230113,A,50,Y,26.49,53.0,53.0,53.0
christian-laforge,M,20230126,A,50,Y,25.4,67.0,67.0,67.0
cade-saito,M,20230120,A,50,Y,27.61,39.0,39.0,39.0
finian-healey,M,20221216,A,50,Y,28.96,24.0,24.0,24.0
mike-loffredo,M,20230127,A,50,Y,28.07,34.0,34.0,34.0
donovan-brown,M,20230105,A,50,Y,25.64,64.0,64.0,64.0
miles-kline-2,M,20230127,A,50,Y,29.55,18.0,18.0,18.0
john-connolly-1,M,20230113,A,50,Y,31.13,3.0,3.0,3.0
keegen-byrne,M,20221220,D,100,Y,65.67,45.0,45.0,45.0
james-hackett-1,M,20230127,D,100,Y,58.75,81.0,81.0,81.0
james-otoole-654398,M,20230127,D,100,Y,68.68,31.0,31.0,31.0
eddie-gunnell,M,20230113,D,100,Y,72.37,16.0,16.0,16.0
connor-cole,M,20230120,D,100,Y,65.05,48.0,48.0,48.0
cade-saito,M,20221209,D,100,Y,63.7,54.0,54.0,54.0
donovan-brown,M,20230103,D,100,Y,68.47,32.0,32.0,32.0
keegen-byrne,M,20230113,A,100,Y,56.99,57.0,57.0,57.0
james-hackett-1,M,20230105,A,100,Y,52.67,85.0,85.0,85.0
eddie-gunnell,M,20230127,A,100,Y,57.5,54.0,54.0,54.0
daemion-santos,M,20230105,A,100,Y,61.4,32.0,32.0,32.0
tanner-vallio,M,20230126,A,100,Y,59.87,40.0,40.0,40.0
christian-laforge,M,20230127,A,100,Y,59.24,44.0,44.0,44.0
connor-cole,M,20230113,A,100,Y,57.21,55.0,55.0,55.0
finian-healey,M,20221209,A,100,Y,66.91,5.0,5.0,5.0
mike-loffredo,M,20230113,A,100,Y,66.44,8.0,8.0,8.0
donovan-brown,M,20221216,A,100,Y,56.93,57.0,57.0,57.0
deavin-santos,M,20230127,A,500,Y,411.01,0.0,0.0,0.0
keegen-byrne,M,20230103,A,500,Y,356.46,34.0,34.0,34.0
james-hackett-1,M,20221220,A,500,Y,335.29,56.0,56.0,56.0
james-otoole-654398,M,20230120,A,500,Y,362.09,29.0,29.0,29.0
eddie-gunnell,M,20230105,A,500,Y,380.89,12.0,12.0,12.0
cade-saito,M,20221216,A,500,Y,364.62,26.0,26.0,26.0
finian-healey,M,20230127,A,500,Y,404.55,0.0,0.0,0.0
donovan-brown,M,20230105,A,500,Y,369.31,22.0,22.0,22.0
zack-martin-1,M,20230123,A,500,Y,362.27,28.0,28.0,28.0
deavin-santos,M,20230120,B,100,Y,83.56,0.0,0.0,0.0
keegen-byrne,M,20230120,B,100,Y,65.44,59.0,59.0,59.0
james-hackett-1,M,20230126,B,100,Y,58.72,91.0,91.0,91.0
james-otoole-654398,M,20221216,B,100,Y,73.59,28.0,28.0,28.0
christian-laforge,M,20230105,B,100,Y,75.58,21.0,21.0,21.0
cade-saito,M,20221209,B,100,Y,71.7,34.0,34.0,34.0
zack-martin-1,M,20230127,B,100,Y,69.52,42.0,42.0,42.0
shep-cooper,M,20230127,B,100,Y,73.16,29.0,29.0,29.0
quinn-feeney,M,20230127,C,100,Y,84.54,9.0,9.0,9.0
james-otoole-654398,M,20230105,C,100,Y,74.72,46.0,46.0,46.0
tanner-vallio,M,20230120,C,100,Y,77.43,35.0,35.0,35.0
connor-cole,M,20221209,C,100,Y,76.43,39.0,39.0,39.0
desmond-nuzzolo,M,20230127,C,100,Y,90.66,0.0,0.0,0.0
