id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
andrew-hill-1,M,20230107,A,200,Y,107.73,110.0,110.0,110.0
tj-byrne,M,20230124,A,200,Y,122.56,59.0,59.0,59.0
sean-mccartney-1,M,20221209,A,200,Y,132.6,32.0,32.0,32.0
jack-mckenna-5,M,20230128,A,200,Y,117.63,75.0,75.0,75.0
william-christianson,M,20230124,A,200,Y,123.23,57.0,57.0,57.0
luke-masters,M,20230128,A,200,Y,126.69,47.0,47.0,47.0
luke-grabowski,M,20221221,A,200,Y,139.75,14.0,14.0,14.0
paul-romano-1,M,20230128,A,200,Y,131.97,33.0,33.0,33.0
brenden-deely,M,20230107,A,200,Y,126.94,47.0,47.0,47.0
andrew-hill-1,M,20230128,E,200,Y,128.91,81.0,81.0,81.0
jack-mckenna-5,M,20230107,E,200,Y,126.04,90.0,90.0,90.0
william-christianson,M,20230107,E,200,Y,135.03,63.0,63.0,63.0
owen-harris,M,20221209,E,200,Y,190.5,0.0,0.0,0.0
alexander-reihl,M,20221217,E,200,Y,134.91,64.0,64.0,64.0
lucas-pearson-1,M,20230128,E,200,Y,138.56,54.0,54.0,54.0
paul-romano-1,M,20230124,E,200,Y,131.76,73.0,73.0,73.0
brenden-deely,M,20230124,E,200,Y,143.41,41.0,41.0,41.0
brayden-svensen,M,20221217,E,200,Y,178.06,0.0,0.0,0.0
sean-mccartney-1,M,20221221,A,50,Y,25.28,69.0,69.0,69.0
owen-harris,M,20221217,A,50,Y,30.02,14.0,14.0,14.0
alexander-reihl,M,20230124,A,50,Y,22.12,118.0,118.0,118.0
luke-masters,M,20230118,A,50,Y,23.67,92.0,92.0,92.0
owen-reed,M,20221221,A,50,Y,25.4,67.0,67.0,67.0
andrew-hill-1,M,20230128,D,100,Y,59.95,74.0,74.0,74.0
tj-byrne,M,20230128,D,100,Y,64.66,49.0,49.0,49.0
jack-mckenna-5,M,20230124,D,100,Y,55.68,100.0,100.0,100.0
owen-harris,M,20221221,D,100,Y,79.5,0.0,0.0,0.0
alexander-reihl,M,20230110,D,100,Y,55.49,101.0,101.0,101.0
lucas-pearson-1,M,20230107,D,100,Y,59.58,76.0,76.0,76.0
luke-grabowski,M,20221209,D,100,Y,68.81,31.0,31.0,31.0
brenden-deely,M,20230128,D,100,Y,64.41,51.0,51.0,51.0
brayden-svensen,M,20221217,D,100,Y,85.25,0.0,0.0,0.0
tj-byrne,M,20221209,A,100,Y,58.5,48.0,48.0,48.0
sean-mccartney-1,M,20230124,A,100,Y,59.29,43.0,43.0,43.0
jack-mckenna-5,M,20230110,A,100,Y,53.93,76.0,76.0,76.0
alexander-reihl,M,20221221,A,100,Y,49.16,111.0,111.0,111.0
luke-masters,M,20230124,A,100,Y,54.44,73.0,73.0,73.0
paul-romano-1,M,20221209,A,100,Y,54.42,73.0,73.0,73.0
max-gasik,M,20230128,A,100,Y,65.23,13.0,13.0,13.0
devon-beecham,M,20230128,A,100,Y,67.63,2.0,2.0,2.0
daniel-nugent-1,M,20230118,A,100,Y,59.77,41.0,41.0,41.0
liam-broderick-1,M,20230110,A,100,Y,55.2,68.0,68.0,68.0
andrew-hill-1,M,20230107,A,500,Y,294.64,107.0,107.0,107.0
tj-byrne,M,20230110,A,500,Y,373.45,18.0,18.0,18.0
sean-mccartney-1,M,20221221,A,500,Y,398.25,0.0,0.0,0.0
jack-mckenna-5,M,20230128,A,500,Y,318.72,75.0,75.0,75.0
william-christianson,M,20221209,A,500,Y,337.21,54.0,54.0,54.0
alexander-reihl,M,20221217,A,500,Y,320.77,73.0,73.0,73.0
luke-masters,M,20230118,A,500,Y,352.53,38.0,38.0,38.0
lucas-pearson-1,M,20230128,A,500,Y,341.6,49.0,49.0,49.0
luke-grabowski,M,20230110,A,500,Y,379.96,12.0,12.0,12.0
max-gasik,M,20221209,A,500,Y,438.21,0.0,0.0,0.0
brenden-deely,M,20230118,A,500,Y,364.31,26.0,26.0,26.0
sean-mccartney-1,M,20230124,B,100,Y,72.2,32.0,32.0,32.0
owen-harris,M,20230110,B,100,Y,75.55,21.0,21.0,21.0
alexander-reihl,M,20221221,B,100,Y,56.66,102.0,102.0,102.0
luke-masters,M,20230128,B,100,Y,63.96,65.0,65.0,65.0
lucas-pearson-1,M,20230124,B,100,Y,61.17,78.0,78.0,78.0
luke-grabowski,M,20230128,B,100,Y,76.04,20.0,20.0,20.0
daniel-nugent-1,M,20230128,B,100,Y,80.17,7.0,7.0,7.0
liam-broderick-1,M,20230110,B,100,Y,63.83,66.0,66.0,66.0
william-christianson,M,20230107,C,100,Y,69.69,68.0,68.0,68.0
owen-reed,M,20221221,C,100,Y,77.04,36.0,36.0,36.0
paul-romano-1,M,20230124,C,100,Y,65.44,90.0,90.0,90.0
bryce-svensen,M,20230128,C,100,Y,92.0,0.0,0.0,0.0
brayden-svensen,M,20230128,C,100,Y,85.77,5.0,5.0,5.0
daniel-nugent-1,M,20230124,C,100,Y,78.81,29.0,29.0,29.0
