id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
dylan-gregg-1,M,20230119,A,200,Y,139.59,15.0,15.0,15.0
brian-lee-15,M,20221208,A,200,Y,152.51,0.0,0.0,0.0
nicholas-breen,M,20230112,A,200,Y,160.37,0.0,0.0,0.0
hayden-abfier,M,20221219,A,200,Y,124.64,53.0,53.0,53.0
lucas-scardigno,M,20230130,A,200,Y,154.38,0.0,0.0,0.0
owen-chan,M,20230112,A,200,Y,147.28,0.0,0.0,0.0
dylan-botero,M,20230119,A,200,Y,157.0,0.0,0.0,0.0
aiden-gregg,M,20230119,A,200,Y,144.0,5.0,5.0,5.0
dylan-gregg-1,M,20221220,E,200,Y,160.34,4.0,4.0,4.0
brian-lee-15,M,20230119,E,200,Y,159.56,6.0,6.0,6.0
hayden-abfier,M,20221214,E,200,Y,139.05,52.0,52.0,52.0
lucas-scardigno,M,20221208,E,200,Y,173.03,0.0,0.0,0.0
owen-chan,M,20230119,E,200,Y,169.03,0.0,0.0,0.0
curtis-wang-1,M,20230112,E,200,Y,152.0,21.0,21.0,21.0
dylan-botero,M,20221220,E,200,Y,175.16,0.0,0.0,0.0
aiden-gregg,M,20221214,E,200,Y,159.0,7.0,7.0,7.0
tolga-kose,M,20230119,E,200,Y,184.0,0.0,0.0,0.0
aryaan-parveez,M,20230116,E,200,Y,213.0,0.0,0.0,0.0
nicholas-breen,M,20221214,A,50,Y,30.63,8.0,8.0,8.0
matt-deary,M,20230112,A,50,Y,24.22,84.0,84.0,84.0
marlon-soiero,M,20230119,A,50,Y,27.0,47.0,47.0,47.0
curtis-wang-1,M,20221208,A,50,Y,27.2,44.0,44.0,44.0
christopher-kolaritsch,M,20230116,A,50,Y,25.71,63.0,63.0,63.0
dylan-botero,M,20230112,A,50,Y,29.5,19.0,19.0,19.0
aiden-gregg,M,20221219,A,50,Y,28.39,31.0,31.0,31.0
tolga-kose,M,20221219,A,50,Y,28.72,27.0,27.0,27.0
enzo-giordano,M,20230112,A,50,Y,28.68,27.0,27.0,27.0
nicholas-breen,M,20221208,D,100,Y,79.76,0.0,0.0,0.0
hayden-abfier,M,20221214,D,100,Y,71.95,18.0,18.0,18.0
lucas-scardigno,M,20221208,D,100,Y,83.96,0.0,0.0,0.0
matt-deary,M,20230112,D,100,Y,65.18,47.0,47.0,47.0
curtis-wang-1,M,20230119,D,100,Y,68.56,32.0,32.0,32.0
dylan-botero,M,20230119,D,100,Y,78.0,0.0,0.0,0.0
aiden-gregg,M,20230116,D,100,Y,72.2,17.0,17.0,17.0
brian-lee-15,M,20230130,A,100,Y,65.16,13.0,13.0,13.0
nicholas-breen,M,20221220,A,100,Y,64.09,18.0,18.0,18.0
hayden-abfier,M,20230130,A,100,Y,54.4,73.0,73.0,73.0
lucas-scardigno,M,20230119,A,100,Y,77.0,0.0,0.0,0.0
matt-deary,M,20230119,A,100,Y,57.02,56.0,56.0,56.0
marlon-soiero,M,20221220,A,100,Y,63.56,21.0,21.0,21.0
christopher-kolaritsch,M,20221219,A,100,Y,60.02,39.0,39.0,39.0
dylan-botero,M,20221208,A,100,Y,66.47,7.0,7.0,7.0
matthew-reiss,M,20230112,A,100,Y,65.25,13.0,13.0,13.0
rashid-hassan-1,M,20221214,A,100,Y,77.03,0.0,0.0,0.0
timothy-chan,M,20230116,A,100,Y,73.47,0.0,0.0,0.0
dylan-gregg-1,M,20230112,A,500,Y,381.5,11.0,11.0,11.0
hayden-abfier,M,20221208,A,500,Y,335.51,56.0,56.0,56.0
lucas-scardigno,M,20221219,A,500,Y,436.94,0.0,0.0,0.0
owen-chan,M,20230112,A,500,Y,446.19,0.0,0.0,0.0
dylan-botero,M,20221214,A,500,Y,479.97,0.0,0.0,0.0
aiden-gregg,M,20230112,A,500,Y,391.19,3.0,3.0,3.0
tolga-kose,M,20230130,A,500,Y,447.94,0.0,0.0,0.0
dylan-gregg-1,M,20230116,B,100,Y,74.0,26.0,26.0,26.0
hayden-abfier,M,20230112,B,100,Y,63.47,68.0,68.0,68.0
marlon-soiero,M,20230116,B,100,Y,80.0,8.0,8.0,8.0
curtis-wang-1,M,20230119,B,100,Y,67.83,49.0,49.0,49.0
rashid-hassan-1,M,20230112,B,100,Y,106.87,0.0,0.0,0.0
aryaan-parveez,M,20230119,B,100,Y,103.0,0.0,0.0,0.0
christopher-kolaritsch,M,20230119,C,100,Y,69.27,70.0,70.0,70.0
aiden-gregg,M,20230116,C,100,Y,75.0,44.0,44.0,44.0
shaan-shah,M,20221220,C,100,Y,82.13,17.0,17.0,17.0
enzo-giordano,M,20230116,C,100,Y,92.85,0.0,0.0,0.0
