id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
robert-armstrong-2,M,20230104,A,200,Y,118.63,71.0,71.0,71.0
shiv-patel-9,M,20221209,A,200,Y,154.0,0.0,0.0,0.0
christopher-cuesta,M,20230111,A,200,Y,146.1,0.0,0.0,0.0
dillion-jenkins,M,20230118,A,200,Y,155.9,0.0,0.0,0.0
david-torres-13,M,20230118,A,200,Y,155.22,0.0,0.0,0.0
christopher-cuesta,M,20230118,E,200,Y,157.3,10.0,10.0,10.0
eric-binbinon,M,20230118,E,200,Y,121.71,104.0,104.0,104.0
andre-ovejas,M,20221213,E,200,Y,133.4,68.0,68.0,68.0
daniel-benimovich,M,20230118,E,200,Y,164.58,0.0,0.0,0.0
shreedar-viswanatha,M,20221219,E,200,Y,174.34,0.0,0.0,0.0
david-torres-13,M,20230104,E,200,Y,194.82,0.0,0.0,0.0
shiv-patel-9,M,20230104,A,50,Y,27.81,37.0,37.0,37.0
david-fritsche,M,20230111,A,50,Y,27.1,45.0,45.0,45.0
daniel-benimovich,M,20221209,A,50,Y,28.18,33.0,33.0,33.0
dillion-jenkins,M,20221219,A,50,Y,29.83,16.0,16.0,16.0
juan-jaramillo-1,M,20230118,A,50,Y,28.92,25.0,25.0,25.0
robert-armstrong-2,M,20221219,D,100,Y,57.29,90.0,90.0,90.0
andre-ovejas,M,20230104,D,100,Y,75.84,3.0,3.0,3.0
dillion-jenkins,M,20221209,D,100,Y,69.61,27.0,27.0,27.0
shiv-patel-9,M,20230113,A,100,Y,65.84,10.0,10.0,10.0
david-fritsche,M,20230111,A,100,Y,62.35,27.0,27.0,27.0
dillion-jenkins,M,20221209,A,100,Y,88.92,0.0,0.0,0.0
juan-jaramillo-1,M,20230104,A,100,Y,68.04,1.0,1.0,1.0
david-torres-13,M,20221213,A,100,Y,68.11,0.0,0.0,0.0
haziq-khawaja,M,20230118,A,100,Y,77.19,0.0,0.0,0.0
andre-ovejas,M,20230118,A,500,Y,424.22,0.0,0.0,0.0
daniel-benimovich,M,20230104,A,500,Y,412.19,0.0,0.0,0.0
mohit-pradhan,M,20221213,A,500,Y,358.56,32.0,32.0,32.0
shreedar-viswanatha,M,20230113,A,500,Y,416.11,0.0,0.0,0.0
david-torres-13,M,20230113,A,500,Y,465.11,0.0,0.0,0.0
haziq-khawaja,M,20221213,A,500,Y,510.75,0.0,0.0,0.0
shiv-patel-9,M,20221213,B,100,Y,89.37,0.0,0.0,0.0
christopher-cuesta,M,20221209,B,100,Y,75.38,22.0,22.0,22.0
mohit-pradhan,M,20221213,B,100,Y,71.54,35.0,35.0,35.0
david-torres-13,M,20230118,B,100,Y,86.14,0.0,0.0,0.0
haziq-khawaja,M,20221219,B,100,Y,93.18,0.0,0.0,0.0
eric-binbinon,M,20230113,C,100,Y,72.17,57.0,57.0,57.0
daniel-benimovich,M,20221213,C,100,Y,83.29,14.0,14.0,14.0
juan-jaramillo-1,M,20230118,C,100,Y,83.36,13.0,13.0,13.0
shreedar-viswanatha,M,20221213,C,100,Y,88.47,0.0,0.0,0.0
