id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
thomas-pownall-1,M,20230126,A,200,Y,124.46,54.0,54.0,54.0
alex-frame,M,20230127,A,200,Y,117.01,77.0,77.0,77.0
zain-khashan,M,20221212,A,200,Y,168.41,0.0,0.0,0.0
will-hyde,M,20230126,A,200,Y,123.71,56.0,56.0,56.0
sean-irwin,M,20230127,A,200,Y,143.91,5.0,5.0,5.0
nick-vallo-1,M,20230103,A,200,Y,159.09,0.0,0.0,0.0
mathew-waters,M,20230130,A,200,Y,126.27,49.0,49.0,49.0
brandon-sutherland,M,20221221,A,200,Y,125.73,50.0,50.0,50.0
sean-bolan,M,20230126,A,200,Y,171.77,0.0,0.0,0.0
alex-frame,M,20230126,E,200,Y,141.16,47.0,47.0,47.0
billy-legates,M,20230127,E,200,Y,145.09,37.0,37.0,37.0
will-hyde,M,20230130,E,200,Y,128.78,82.0,82.0,82.0
chas-messina,M,20230117,E,200,Y,140.18,50.0,50.0,50.0
derek-manchester-1,M,20230127,E,200,Y,171.01,0.0,0.0,0.0
alex-frame,M,20230117,A,50,Y,25.51,66.0,66.0,66.0
zain-khashan,M,20230103,A,50,Y,27.95,35.0,35.0,35.0
chas-messina,M,20221221,A,50,Y,24.62,78.0,78.0,78.0
sean-irwin,M,20221221,A,50,Y,27.27,43.0,43.0,43.0
nick-vallo-1,M,20230127,A,50,Y,27.56,40.0,40.0,40.0
mathew-waters,M,20230116,A,50,Y,24.7,77.0,77.0,77.0
brandon-sutherland,M,20230126,A,50,Y,24.58,79.0,79.0,79.0
derek-manchester-1,M,20230116,A,50,Y,26.19,57.0,57.0,57.0
alex-frame,M,20230127,D,100,Y,58.46,83.0,83.0,83.0
billy-legates,M,20230124,D,100,Y,62.3,61.0,61.0,61.0
will-hyde,M,20230117,D,100,Y,59.61,76.0,76.0,76.0
chas-messina,M,20230116,D,100,Y,60.1,73.0,73.0,73.0
mathew-waters,M,20230103,D,100,Y,60.66,70.0,70.0,70.0
thomas-pownall-1,M,20230127,A,100,Y,51.45,94.0,94.0,94.0
alex-frame,M,20230103,A,100,Y,53.11,82.0,82.0,82.0
will-hyde,M,20230116,A,100,Y,54.6,72.0,72.0,72.0
chas-messina,M,20221221,A,100,Y,54.95,69.0,69.0,69.0
sean-irwin,M,20221212,A,100,Y,69.75,0.0,0.0,0.0
nick-vallo-1,M,20230126,A,100,Y,62.88,24.0,24.0,24.0
mathew-waters,M,20230116,A,100,Y,57.14,56.0,56.0,56.0
brandon-sutherland,M,20230130,A,100,Y,54.42,73.0,73.0,73.0
derek-manchester-1,M,20230124,A,100,Y,61.17,33.0,33.0,33.0
thomas-pownall-1,M,20230103,A,500,Y,322.94,70.0,70.0,70.0
alex-frame,M,20230124,A,500,Y,328.14,64.0,64.0,64.0
will-hyde,M,20230126,A,500,Y,336.55,55.0,55.0,55.0
mathew-waters,M,20230127,A,500,Y,342.7,48.0,48.0,48.0
brandon-sutherland,M,20221212,A,500,Y,365.06,26.0,26.0,26.0
joe-white-1,M,20230124,A,500,Y,471.6,0.0,0.0,0.0
thomas-pownall-1,M,20230103,B,100,Y,60.31,83.0,83.0,83.0
alex-frame,M,20230126,B,100,Y,64.4,63.0,63.0,63.0
chas-messina,M,20230130,B,100,Y,66.36,55.0,55.0,55.0
sean-irwin,M,20230130,B,100,Y,84.4,0.0,0.0,0.0
mathew-waters,M,20230127,B,100,Y,67.02,52.0,52.0,52.0
brandon-sutherland,M,20230103,B,100,Y,59.7,86.0,86.0,86.0
sean-bolan,M,20230124,B,100,Y,105.13,0.0,0.0,0.0
zain-khashan,M,20221221,C,100,Y,80.68,23.0,23.0,23.0
will-hyde,M,20230127,C,100,Y,66.59,83.0,83.0,83.0
chas-messina,M,20230126,C,100,Y,71.18,61.0,61.0,61.0
joe-white-1,M,20230103,C,100,Y,80.03,25.0,25.0,25.0
