id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
brian-hu,M,20221208,A,200,Y,123.92,55.0,55.0,55.0
james-lepori,M,20221208,A,200,Y,148.5,0.0,0.0,0.0
jalen-hu,M,20230112,A,200,Y,129.72,39.0,39.0,39.0
adam-lao,M,20221222,A,200,Y,133.09,30.0,30.0,30.0
michael-penkrat,M,20230126,A,200,Y,147.15,0.0,0.0,0.0
jonathan-plavnik,M,20221213,A,200,Y,132.87,31.0,31.0,31.0
timothy-lee-1,M,20230119,A,200,Y,133.44,29.0,29.0,29.0
krish-govindani,M,20221213,A,200,Y,138.61,17.0,17.0,17.0
john-pawlik,M,20230119,A,200,Y,134.82,26.0,26.0,26.0
paul-pawlik,M,20230126,A,200,Y,144.1,5.0,5.0,5.0
lucas-steele-1,M,20221222,A,200,Y,146.26,0.0,0.0,0.0
yuto-takeda,M,20230126,A,200,Y,148.6,0.0,0.0,0.0
harrison-consor,M,20230119,A,200,Y,171.9,0.0,0.0,0.0
brian-hu,M,20221214,E,200,Y,164.28,0.0,0.0,0.0
james-lepori,M,20230105,E,200,Y,166.3,0.0,0.0,0.0
jalen-hu,M,20230105,E,200,Y,147.71,31.0,31.0,31.0
adam-lao,M,20230105,E,200,Y,143.72,41.0,41.0,41.0
michael-penkrat,M,20221222,E,200,Y,191.95,0.0,0.0,0.0
jonathan-plavnik,M,20221222,E,200,Y,150.03,26.0,26.0,26.0
luke-auty,M,20221213,E,200,Y,165.18,0.0,0.0,0.0
timothy-lee-1,M,20221222,E,200,Y,144.96,38.0,38.0,38.0
krish-govindani,M,20230119,E,200,Y,156.4,12.0,12.0,12.0
john-pawlik,M,20221213,E,200,Y,149.61,27.0,27.0,27.0
harrison-consor,M,20230126,E,200,Y,204.1,0.0,0.0,0.0
brian-hu,M,20221222,A,50,Y,25.5,66.0,66.0,66.0
michael-penkrat,M,20221208,A,50,Y,29.21,22.0,22.0,22.0
jonathan-plavnik,M,20230105,A,50,Y,24.73,76.0,76.0,76.0
luke-auty,M,20230126,A,50,Y,25.25,69.0,69.0,69.0
john-pawlik,M,20230112,A,50,Y,26.49,53.0,53.0,53.0
lucas-steele-1,M,20230119,A,50,Y,25.81,62.0,62.0,62.0
yuto-takeda,M,20221213,A,50,Y,29.25,21.0,21.0,21.0
kevin-moon,M,20221213,A,50,Y,31.13,3.0,3.0,3.0
harrison-consor,M,20221222,A,50,Y,36.95,0.0,0.0,0.0
hojin-nam,M,20230126,A,50,Y,24.65,78.0,78.0,78.0
marcelo-daureli,M,20230126,A,50,Y,41.94,0.0,0.0,0.0
