id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
grant-paulus-2,M,20221219,A,200,Y,136.94,21.0,21.0,21.0
diego-martell,M,20230110,A,200,Y,137.33,20.0,20.0,20.0
jason-gracias,M,20230110,A,200,Y,152.41,0.0,0.0,0.0
jonathan-lee-9,M,20230119,A,200,Y,148.76,0.0,0.0,0.0
connor-nolan-604063,M,20221219,A,200,Y,134.99,26.0,26.0,26.0
jayan-doshi,M,20230120,A,200,Y,156.11,0.0,0.0,0.0
prithvi-arumugam,M,20230105,A,200,Y,163.96,0.0,0.0,0.0
aarav-pendse,M,20230105,A,200,Y,160.43,0.0,0.0,0.0
henderson-han,M,20230119,A,200,Y,133.76,29.0,29.0,29.0
luke-brennan-1,M,20230117,A,200,Y,106.65,114.0,114.0,114.0
aarya-patel-2,M,20230119,A,200,Y,183.25,0.0,0.0,0.0
anirudh-dusi,M,20221220,A,200,Y,199.08,0.0,0.0,0.0
anhe-kaushal,M,20221220,A,200,Y,231.65,0.0,0.0,0.0
ekansh-mohley,M,20230110,A,200,Y,178.87,0.0,0.0,0.0
harish-iyer,M,20230120,A,200,Y,161.81,0.0,0.0,0.0
caleigh-pokallus,M,20230105,A,200,Y,186.08,0.0,0.0,0.0
grant-paulus-2,M,20221214,E,200,Y,158.24,8.0,8.0,8.0
jason-gracias,M,20221208,E,200,Y,160.05,5.0,5.0,5.0
jonathan-lee-9,M,20221219,E,200,Y,134.99,63.0,63.0,63.0
connor-nolan-604063,M,20221214,E,200,Y,157.68,9.0,9.0,9.0
jayan-doshi,M,20230117,E,200,Y,175.86,0.0,0.0,0.0
aarav-pendse,M,20230123,E,200,Y,186.48,0.0,0.0,0.0
henderson-han,M,20221212,E,200,Y,149.75,26.0,26.0,26.0
nuren-khosla,M,20230120,E,200,Y,214.47,0.0,0.0,0.0
harish-iyer,M,20230119,E,200,Y,182.44,0.0,0.0,0.0
suhani-agarwal,M,20230105,E,200,Y,160.66,3.0,3.0,3.0
sara-pandey,M,20230105,E,200,Y,189.8,0.0,0.0,0.0
megan-dera-2,M,20230110,E,200,Y,135.44,62.0,62.0,62.0
galluccio-vivian,M,20230110,E,200,Y,215.64,0.0,0.0,0.0
catalina-vasquez,M,20230110,E,200,Y,225.14,0.0,0.0,0.0
grant-paulus-2,M,20230117,A,50,Y,27.19,44.0,44.0,44.0
diego-martell,M,20221212,A,50,Y,27.4,42.0,42.0,42.0
connor-nolan-604063,M,20221208,A,50,Y,26.53,52.0,52.0,52.0
jayan-doshi,M,20221220,A,50,Y,26.82,49.0,49.0,49.0
prithvi-arumugam,M,20221208,A,50,Y,32.03,0.0,0.0,0.0
aarav-pendse,M,20230117,A,50,Y,29.08,23.0,23.0,23.0
henderson-han,M,20221219,A,50,Y,28.39,31.0,31.0,31.0
luke-brennan-1,M,20230105,A,50,Y,22.81,106.0,106.0,106.0
aarya-patel-2,M,20221212,A,50,Y,32.84,0.0,0.0,0.0
anirudh-dusi,M,20221214,A,50,Y,33.92,0.0,0.0,0.0
anhe-kaushal,M,20230123,A,50,Y,34.15,0.0,0.0,0.0
david-cierpal,M,20221219,A,50,Y,34.79,0.0,0.0,0.0
nuren-khosla,M,20230103,A,50,Y,36.82,0.0,0.0,0.0
megan-dera-2,M,20230105,A,50,Y,26.92,47.0,47.0,47.0
emily-volchansky,M,20230105,A,50,Y,27.78,37.0,37.0,37.0
isabelle-stoldt,M,20230110,A,50,Y,29.0,24.0,24.0,24.0
hannah-myers-2,M,20230110,A,50,Y,44.31,0.0,0.0,0.0
grant-paulus-2,M,20221214,D,100,Y,73.0,14.0,14.0,14.0
diego-martell,M,20230123,D,100,Y,73.05,13.0,13.0,13.0
jason-gracias,M,20230117,D,100,Y,85.66,0.0,0.0,0.0
jonathan-lee-9,M,20230119,D,100,Y,71.79,18.0,18.0,18.0
connor-nolan-604063,M,20230123,D,100,Y,74.14,9.0,9.0,9.0
jayan-doshi,M,20221220,D,100,Y,97.35,0.0,0.0,0.0
aarav-pendse,M,20230110,D,100,Y,86.9,0.0,0.0,0.0
henderson-han,M,20221208,D,100,Y,71.23,20.0,20.0,20.0
luke-brennan-1,M,20221214,D,100,Y,56.01,98.0,98.0,98.0
anirudh-dusi,M,20230123,D,100,Y,109.87,0.0,0.0,0.0
emily-volchansky,M,20230110,D,100,Y,66.36,41.0,41.0,41.0
sofia-latushka,M,20230105,D,100,Y,85.18,0.0,0.0,0.0
jess-hoplock,M,20230110,D,100,Y,97.54,0.0,0.0,0.0
grant-paulus-2,M,20221212,A,100,Y,60.62,36.0,36.0,36.0
diego-martell,M,20230119,A,100,Y,58.07,50.0,50.0,50.0
jason-gracias,M,20230103,A,100,Y,65.31,13.0,13.0,13.0
jonathan-lee-9,M,20230123,A,100,Y,62.31,27.0,27.0,27.0
connor-nolan-604063,M,20221220,A,100,Y,62.28,27.0,27.0,27.0
jayan-doshi,M,20230105,A,100,Y,68.27,0.0,0.0,0.0
prithvi-arumugam,M,20221208,A,100,Y,73.78,0.0,0.0,0.0
aarya-patel-2,M,20230120,A,100,Y,78.23,0.0,0.0,0.0
anirudh-dusi,M,20221214,A,100,Y,87.28,0.0,0.0,0.0
anhe-kaushal,M,20230119,A,100,Y,82.09,0.0,0.0,0.0
david-cierpal,M,20230123,A,100,Y,86.34,0.0,0.0,0.0
nuren-khosla,M,20230110,A,100,Y,85.24,0.0,0.0,0.0
ekansh-mohley,M,20221220,A,100,Y,79.04,0.0,0.0,0.0
suhani-agarwal,M,20230110,A,100,Y,64.91,15.0,15.0,15.0
ria-chidare,M,20230105,A,100,Y,70.88,0.0,0.0,0.0
galluccio-vivian,M,20230105,A,100,Y,78.56,0.0,0.0,0.0
grant-paulus-2,M,20221212,A,500,Y,437.17,0.0,0.0,0.0
diego-martell,M,20230123,A,500,Y,406.83,0.0,0.0,0.0
jason-gracias,M,20221219,A,500,Y,435.13,0.0,0.0,0.0
jonathan-lee-9,M,20221220,A,500,Y,441.02,0.0,0.0,0.0
connor-nolan-604063,M,20221214,A,500,Y,366.61,24.0,24.0,24.0
jayan-doshi,M,20230120,A,500,Y,428.41,0.0,0.0,0.0
prithvi-arumugam,M,20230110,A,500,Y,456.97,0.0,0.0,0.0
aarav-pendse,M,20230123,A,500,Y,459.42,0.0,0.0,0.0
henderson-han,M,20230120,A,500,Y,352.77,38.0,38.0,38.0
luke-brennan-1,M,20230110,A,500,Y,281.83,126.0,126.0,126.0
aarya-patel-2,M,20221220,A,500,Y,570.01,0.0,0.0,0.0
anirudh-dusi,M,20221212,A,500,Y,538.75,0.0,0.0,0.0
nuren-khosla,M,20221220,A,500,Y,612.51,0.0,0.0,0.0
harish-iyer,M,20230120,A,500,Y,444.3,0.0,0.0,0.0
angie-brown-602323,M,20230105,A,500,Y,379.62,13.0,13.0,13.0
alyson-michaels,M,20230105,A,500,Y,520.08,0.0,0.0,0.0
aditi-gunnia-3,M,20230110,A,500,Y,543.48,0.0,0.0,0.0
grant-paulus-2,M,20230123,B,100,Y,74.42,25.0,25.0,25.0
diego-martell,M,20230119,B,100,Y,71.34,36.0,36.0,36.0
