id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
andrew-van-beveren,M,20230111,A,200,Y,138.43,17.0,17.0,17.0
kelson-lowrie,M,20230118,A,200,Y,133.53,29.0,29.0,29.0
kris-rao,M,20221221,A,200,Y,141.83,10.0,10.0,10.0
algirdas-simoliunas,M,20221221,A,200,Y,180.32,0.0,0.0,0.0
maya-zavatsky,M,20230104,A,200,Y,153.06,0.0,0.0,0.0
emily-cogdill,M,20230111,A,200,Y,142.84,7.0,7.0,7.0
kelson-lowrie,M,20221221,E,200,Y,165.53,0.0,0.0,0.0
varun-krishna,M,20230111,E,200,Y,143.69,41.0,41.0,41.0
kris-rao,M,20230126,E,200,Y,156.56,12.0,12.0,12.0
aarush-rai,M,20230126,E,200,Y,189.5,0.0,0.0,0.0
emily-gardner-603003,M,20230104,E,200,Y,163.9,0.0,0.0,0.0
matthew-menotti,M,20230126,A,50,Y,22.57,110.0,110.0,110.0
john-ward-653850,M,20221209,A,50,Y,38.79,0.0,0.0,0.0
maheep-singh,M,20221221,A,50,Y,28.15,33.0,33.0,33.0
om-hatalkar,M,20230126,A,50,Y,31.76,0.0,0.0,0.0
john-ward-653850,M,20230126,D,100,Y,71.56,19.0,19.0,19.0
elijah-zavatsky,M,20221209,D,100,Y,75.02,6.0,6.0,6.0
maheep-singh,M,20230118,D,100,Y,67.97,34.0,34.0,34.0
emily-gardner-603003,M,20230111,D,100,Y,76.12,2.0,2.0,2.0
matthew-menotti,M,20230126,A,100,Y,50.88,98.0,98.0,98.0
ethan-anthony,M,20230118,A,100,Y,60.06,39.0,39.0,39.0
om-hatalkar,M,20230126,A,100,Y,73.08,0.0,0.0,0.0
andrew-van-beveren,M,20221221,A,500,Y,394.32,0.0,0.0,0.0
kelson-lowrie,M,20230104,A,500,Y,416.78,0.0,0.0,0.0
aarush-rai,M,20221221,A,500,Y,431.58,0.0,0.0,0.0
emily-cogdill,M,20230111,A,500,Y,385.43,8.0,8.0,8.0
julia-pasnczenko,M,20230111,A,500,Y,427.7,0.0,0.0,0.0
kris-rao,M,20221214,B,100,Y,64.38,63.0,63.0,63.0
john-ward-653850,M,20230126,B,100,Y,83.28,0.0,0.0,0.0
ethan-anthony,M,20221221,B,100,Y,73.59,28.0,28.0,28.0
algirdas-simoliunas,M,20230126,B,100,Y,89.26,0.0,0.0,0.0
aarush-rai,M,20230104,B,100,Y,90.53,0.0,0.0,0.0
rose-ndungu,M,20230104,B,100,Y,90.81,0.0,0.0,0.0
varun-krishna,M,20230126,C,100,Y,71.94,58.0,58.0,58.0
elijah-zavatsky,M,20221209,C,100,Y,86.62,3.0,3.0,3.0
ethan-anthony,M,20230118,C,100,Y,78.66,30.0,30.0,30.0
maheep-singh,M,20230118,C,100,Y,89.08,0.0,0.0,0.0
amber-shea,M,20230104,C,100,Y,86.02,5.0,5.0,5.0
scout-lowrie,M,20230111,C,100,Y,78.52,31.0,31.0,31.0
