id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
cooper-lutz,M,20230112,A,200,Y,135.13,25.0,25.0,25.0
kayla-kovacs,M,20221214,A,200,Y,144.78,3.0,3.0,3.0
julia-figueiredo,M,20221214,A,200,Y,184.47,0.0,0.0,0.0
ethan-shaw-4,M,20221216,A,200,Y,159.5,0.0,0.0,0.0
domingo-gatti,M,20230112,A,200,Y,117.14,76.0,76.0,76.0
evan-barna,M,20230119,A,200,Y,151.88,0.0,0.0,0.0
ben-mcclaine,M,20221221,A,200,Y,149.32,0.0,0.0,0.0
santiago-fernanez,M,20230104,A,200,Y,159.28,0.0,0.0,0.0
charles-zhang-1,M,20230118,A,200,Y,132.0,33.0,33.0,33.0
kiwan-pasha,M,20230112,A,200,Y,158.59,0.0,0.0,0.0
kameron-przybylski,M,20230118,A,200,Y,156.0,0.0,0.0,0.0
logan-fabriczi,M,20230104,E,200,Y,159.65,5.0,5.0,5.0
jessica-ortiz-655782,M,20221214,E,200,Y,164.07,0.0,0.0,0.0
domingo-gatti,M,20230130,E,200,Y,125.5,92.0,92.0,92.0
ben-mcclaine,M,20230112,E,200,Y,187.75,0.0,0.0,0.0
luke-bursack,M,20230119,E,200,Y,169.32,0.0,0.0,0.0
nate-cohen,M,20221216,E,200,Y,187.27,0.0,0.0,0.0
jazmin-ortiz-quinonez,M,20230118,E,200,Y,165.0,0.0,0.0,0.0
kayla-kappmeier,M,20230118,E,200,Y,182.0,0.0,0.0,0.0
jessica-ortiz-655782,M,20230118,A,50,Y,27.88,36.0,36.0,36.0
sophia-baumann,M,20221214,A,50,Y,35.32,0.0,0.0,0.0
paige-hoinowski,M,20221214,A,50,Y,37.06,0.0,0.0,0.0
tony-hendershot,M,20221214,A,50,Y,40.32,0.0,0.0,0.0
andrew-arellano,M,20221216,A,50,Y,29.9,15.0,15.0,15.0
santiago-fernanez,M,20230118,A,50,Y,25.53,65.0,65.0,65.0
kaden-kechula,M,20230130,A,50,Y,28.73,27.0,27.0,27.0
kevyn-dalida,M,20230112,A,50,Y,32.5,0.0,0.0,0.0
charles-zhang-1,M,20230126,A,50,Y,22.41,113.0,113.0,113.0
kiwan-pasha,M,20230104,A,50,Y,29.58,18.0,18.0,18.0
gavin-hoinowski,M,20230104,A,50,Y,31.33,1.0,1.0,1.0
fontaine-gatti,M,20230118,A,50,Y,30.0,14.0,14.0,14.0
brayden-nguyen,M,20230126,D,100,Y,67.41,37.0,37.0,37.0
ethan-shaw-4,M,20230119,D,100,Y,74.48,8.0,8.0,8.0
kaylie-fabriczi,M,20221214,D,100,Y,87.22,0.0,0.0,0.0
nate-cohen,M,20230104,D,100,Y,83.47,0.0,0.0,0.0
charles-zhang-1,M,20221221,D,100,Y,58.76,81.0,81.0,81.0
kiwan-pasha,M,20230118,D,100,Y,99.0,0.0,0.0,0.0
ava-pektor,M,20230118,D,100,Y,65.77,44.0,44.0,44.0
cooper-lutz,M,20230119,A,100,Y,61.77,30.0,30.0,30.0
logan-fabriczi,M,20230118,A,100,Y,61.0,34.0,34.0,34.0
mina-batra,M,20221214,A,100,Y,83.58,0.0,0.0,0.0
natalie-mcclaine,M,20221214,A,100,Y,91.2,0.0,0.0,0.0
evan-barna,M,20230126,A,100,Y,66.51,7.0,7.0,7.0
nate-cohen,M,20221216,A,100,Y,71.53,0.0,0.0,0.0
santiago-fernanez,M,20230130,A,100,Y,63.12,23.0,23.0,23.0
kaden-kechula,M,20230119,A,100,Y,68.72,0.0,0.0,0.0
kevyn-dalida,M,20230119,A,100,Y,72.84,0.0,0.0,0.0
charles-zhang-1,M,20230118,A,100,Y,50.14,104.0,104.0,104.0
kiwan-pasha,M,20230112,A,100,Y,68.25,0.0,0.0,0.0
fontaine-gatti,M,20230118,A,100,Y,69.65,0.0,0.0,0.0
cooper-lutz,M,20230118,A,500,Y,397.68,0.0,0.0,0.0
jessica-ortiz-655782,M,20230118,A,500,Y,381.83,11.0,11.0,11.0
domingo-gatti,M,20230130,A,500,Y,297.52,103.0,103.0,103.0
evan-barna,M,20230118,A,500,Y,426.0,0.0,0.0,0.0
ben-mcclaine,M,20230104,A,500,Y,442.28,0.0,0.0,0.0
luke-bursack,M,20221221,A,500,Y,465.27,0.0,0.0,0.0
santiago-fernanez,M,20230119,A,500,Y,430.33,0.0,0.0,0.0
kiwan-pasha,M,20230130,A,500,Y,449.68,0.0,0.0,0.0
tony-hendershot,M,20221221,B,100,Y,125.56,0.0,0.0,0.0
brayden-nguyen,M,20230126,B,100,Y,66.76,53.0,53.0,53.0
ethan-shaw-4,M,20230126,B,100,Y,81.09,4.0,4.0,4.0
domingo-gatti,M,20230118,B,100,Y,61.0,79.0,79.0,79.0
ben-mcclaine,M,20230118,B,100,Y,72.94,30.0,30.0,30.0
luke-bursack,M,20221216,B,100,Y,81.44,3.0,3.0,3.0
nicole-romero-1,M,20221214,B,100,Y,95.0,0.0,0.0,0.0
michael-javier,M,20221216,B,100,Y,131.27,0.0,0.0,0.0
kevyn-dalida,M,20221221,B,100,Y,121.3,0.0,0.0,0.0
kiwan-pasha,M,20230119,B,100,Y,80.62,6.0,6.0,6.0
cecilia-smola,M,20230118,B,100,Y,86.0,0.0,0.0,0.0
logan-fabriczi,M,20230119,C,100,Y,71.94,58.0,58.0,58.0
tony-hendershot,M,20221216,C,100,Y,108.32,0.0,0.0,0.0
luke-bursack,M,20230119,C,100,Y,85.84,5.0,5.0,5.0
louis-gunawan,M,20230104,C,100,Y,80.38,24.0,24.0,24.0
bella-paglia,M,20230118,C,100,Y,90.0,0.0,0.0,0.0
andrew-arellano,M,20221214,C,100,Y,115.12,0.0,0.0,0.0
kevyn-dalida,M,20230104,C,100,Y,99.77,0.0,0.0,0.0
charles-zhang-1,M,20230112,C,100,Y,61.64,111.0,111.0,111.0
ava-pektor,M,20230118,C,100,Y,73.97,49.0,49.0,49.0
