id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
hiroshi-mcintosh,M,20230106,A,200,Y,119.19,70.0,70.0,70.0
liam-brady,M,20221215,A,200,Y,185.21,0.0,0.0,0.0
luis-loiaza,M,20230118,A,200,Y,177.93,0.0,0.0,0.0
raymond-evangelista,M,20230123,A,200,Y,146.11,0.0,0.0,0.0
jakob-rivera,M,20221219,A,200,Y,155.91,0.0,0.0,0.0
hiroshi-mcintosh,M,20230119,E,200,Y,128.33,83.0,83.0,83.0
liam-brady,M,20221212,E,200,Y,239.5,0.0,0.0,0.0
bryce-johnson-1,M,20230118,E,200,Y,184.25,0.0,0.0,0.0
jb-abarquez,M,20221222,E,200,Y,144.0,40.0,40.0,40.0
liam-brady,M,20230110,A,50,Y,29.82,16.0,16.0,16.0
luis-loiaza,M,20221212,A,50,Y,33.6,0.0,0.0,0.0
jamie-alarcon,M,20230123,A,50,Y,28.29,32.0,32.0,32.0
raymond-evangelista,M,20221219,A,50,Y,28.8,26.0,26.0,26.0
bryce-johnson-1,M,20230110,A,50,Y,30.61,8.0,8.0,8.0
jb-abarquez,M,20230123,A,50,Y,25.72,63.0,63.0,63.0
jakob-rivera,M,20221222,A,50,Y,29.46,19.0,19.0,19.0
hiroshi-mcintosh,M,20230110,D,100,Y,57.88,86.0,86.0,86.0
liam-brady,M,20230118,D,100,Y,82.73,0.0,0.0,0.0
raymond-evangelista,M,20221212,D,100,Y,80.58,0.0,0.0,0.0
bryce-johnson-1,M,20230106,D,100,Y,90.63,0.0,0.0,0.0
jb-abarquez,M,20221219,D,100,Y,65.7,44.0,44.0,44.0
jakob-rivera,M,20230123,D,100,Y,84.15,0.0,0.0,0.0
hiroshi-mcintosh,M,20230118,A,100,Y,53.74,77.0,77.0,77.0
liam-brady,M,20230119,A,100,Y,69.98,0.0,0.0,0.0
luis-loiaza,M,20230119,A,100,Y,80.12,0.0,0.0,0.0
jamie-alarcon,M,20230123,A,100,Y,69.8,0.0,0.0,0.0
raymond-evangelista,M,20230123,A,100,Y,65.73,11.0,11.0,11.0
bryce-johnson-1,M,20221212,A,100,Y,75.83,0.0,0.0,0.0
jakob-rivera,M,20230106,A,100,Y,66.59,7.0,7.0,7.0
hiroshi-mcintosh,M,20230123,A,500,Y,316.41,78.0,78.0,78.0
luis-loiaza,M,20230110,A,500,Y,517.57,0.0,0.0,0.0
raymond-evangelista,M,20230118,A,500,Y,409.14,0.0,0.0,0.0
liam-brady,M,20230106,B,100,Y,82.15,1.0,1.0,1.0
raymond-evangelista,M,20221212,B,100,Y,78.9,11.0,11.0,11.0
bryce-johnson-1,M,20230118,B,100,Y,85.69,0.0,0.0,0.0
hiroshi-mcintosh,M,20221212,C,100,Y,67.42,79.0,79.0,79.0
liam-brady,M,20221215,C,100,Y,135.9,0.0,0.0,0.0
bryce-johnson-1,M,20221212,C,100,Y,103.34,0.0,0.0,0.0
jb-abarquez,M,20230106,C,100,Y,69.34,70.0,70.0,70.0
jakob-rivera,M,20230123,C,100,Y,86.8,2.0,2.0,2.0
