id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
eliot-na,M,20230112,A,200,Y,134.12,28.0,28.0,28.0
ellis-tritter,M,20230108,A,200,Y,114.16,86.0,86.0,86.0
will-donohue,M,20221211,A,200,Y,160.85,0.0,0.0,0.0
caleb-lee,M,20230119,A,200,Y,121.09,64.0,64.0,64.0
roy-dafinoiu,M,20230104,A,200,Y,111.03,97.0,97.0,97.0
brendan-won,M,20230119,A,200,Y,145.04,3.0,3.0,3.0
brandon-gao,M,20221218,A,200,Y,138.71,17.0,17.0,17.0
ondrej-reiser,M,20230119,A,200,Y,151.22,0.0,0.0,0.0
edward-kim-4,M,20230106,A,200,Y,120.95,64.0,64.0,64.0
max-ulis,M,20230125,A,200,Y,136.69,21.0,21.0,21.0
david-shin-1,M,20230104,A,200,Y,118.76,71.0,71.0,71.0
matthew-collado,M,20230112,A,200,Y,123.19,57.0,57.0,57.0
kyle-lee-4,M,20230108,A,200,Y,108.62,106.0,106.0,106.0
justin-park-11,M,20221218,A,200,Y,171.28,0.0,0.0,0.0
hayoung-choe,M,20230112,A,200,Y,114.77,84.0,84.0,84.0
yoon-jo,M,20230106,A,200,Y,158.97,0.0,0.0,0.0
pranav-suresh,M,20221218,A,200,Y,193.76,0.0,0.0,0.0
aaron-baltaytis,M,20230108,A,200,Y,103.15,128.0,128.0,128.0
ellis-tritter,M,20230119,E,200,Y,127.59,85.0,85.0,85.0
caleb-lee,M,20221211,E,200,Y,136.93,58.0,58.0,58.0
roy-dafinoiu,M,20221211,E,200,Y,134.28,65.0,65.0,65.0
luke-oh,M,20221211,E,200,Y,160.41,4.0,4.0,4.0
brandon-gao,M,20230106,E,200,Y,144.51,39.0,39.0,39.0
edward-kim-4,M,20230108,E,200,Y,133.01,69.0,69.0,69.0
andrew-lee-14,M,20230104,E,200,Y,121.58,105.0,105.0,105.0
henry-you-1,M,20230106,E,200,Y,158.51,8.0,8.0,8.0
david-shin-1,M,20230108,E,200,Y,134.09,66.0,66.0,66.0
matthew-collado,M,20230119,E,200,Y,139.02,53.0,53.0,53.0
kyle-lee-4,M,20230112,E,200,Y,128.91,81.0,81.0,81.0
hayoung-choe,M,20230108,E,200,Y,122.54,102.0,102.0,102.0
jason-park,M,20230104,E,200,Y,128.97,81.0,81.0,81.0
aaron-baltaytis,M,20230112,E,200,Y,117.72,118.0,118.0,118.0
eliot-na,M,20221218,A,50,Y,26.49,53.0,53.0,53.0
caleb-lee,M,20230112,A,50,Y,24.19,84.0,84.0,84.0
roy-dafinoiu,M,20230108,A,50,Y,23.53,94.0,94.0,94.0
luke-oh,M,20230106,A,50,Y,25.56,65.0,65.0,65.0
brendan-won,M,20221211,A,50,Y,27.45,41.0,41.0,41.0
brandon-gao,M,20221211,A,50,Y,24.7,77.0,77.0,77.0
ondrej-reiser,M,20221218,A,50,Y,27.21,44.0,44.0,44.0
edward-kim-4,M,20230104,A,50,Y,23.71,92.0,92.0,92.0
andrew-lee-14,M,20230108,A,50,Y,22.33,115.0,115.0,115.0
max-ulis,M,20230119,A,50,Y,27.06,46.0,46.0,46.0
max-romanov,M,20230106,A,50,Y,29.67,17.0,17.0,17.0
kyle-lee-4,M,20230119,A,50,Y,24.67,77.0,77.0,77.0
justin-park-11,M,20230119,A,50,Y,30.73,7.0,7.0,7.0
jason-park,M,20230112,A,50,Y,24.34,82.0,82.0,82.0
aaron-baltaytis,M,20230104,A,50,Y,21.01,139.0,139.0,139.0
jason-yi,M,20230108,A,50,Y,23.28,98.0,98.0,98.0
adi-weissman,M,20230125,A,50,Y,34.93,0.0,0.0,0.0
ellis-tritter,M,20230106,D,100,Y,56.77,93.0,93.0,93.0
caleb-lee,M,20230108,D,100,Y,61.31,67.0,67.0,67.0
luke-oh,M,20230112,D,100,Y,66.75,40.0,40.0,40.0
edward-kim-4,M,20230119,D,100,Y,58.25,84.0,84.0,84.0
andrew-lee-14,M,20221211,D,100,Y,55.96,98.0,98.0,98.0
henry-you-1,M,20230112,D,100,Y,67.58,36.0,36.0,36.0
max-ulis,M,20230106,D,100,Y,78.04,0.0,0.0,0.0
matthew-collado,M,20230104,D,100,Y,58.73,81.0,81.0,81.0
kyle-lee-4,M,20230106,D,100,Y,63.13,57.0,57.0,57.0
hayoung-choe,M,20230104,D,100,Y,52.51,122.0,122.0,122.0
jason-park,M,20230108,D,100,Y,57.96,86.0,86.0,86.0
