id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
aiden-padham,M,20230124,A,200,Y,126.78,47.0,47.0,47.0
trevor-kalb,M,20230124,A,200,Y,125.7,50.0,50.0,50.0
matthew-hartzfeld,M,20230112,A,200,Y,148.72,0.0,0.0,0.0
brady-krohn,M,20230104,A,200,Y,132.34,32.0,32.0,32.0
colin-speedy,M,20230124,A,200,Y,135.9,23.0,23.0,23.0
nick-romaine,M,20221221,A,200,Y,159.8,0.0,0.0,0.0
william-mundy,M,20230117,A,200,Y,147.65,0.0,0.0,0.0
sam-speedy,M,20230104,A,200,Y,176.8,0.0,0.0,0.0
brady-krohn,M,20221221,E,200,Y,150.34,25.0,25.0,25.0
joseph-flores-502369,M,20230104,E,200,Y,157.19,10.0,10.0,10.0
andrew-cagliostro,M,20230124,E,200,Y,160.72,3.0,3.0,3.0
noah-thompson,M,20230124,E,200,Y,130.08,78.0,78.0,78.0
robert-boemio,M,20230117,E,200,Y,164.64,0.0,0.0,0.0
cal-narvaez,M,20230117,E,200,Y,139.38,52.0,52.0,52.0
aiden-padham,M,20230104,A,50,Y,25.31,68.0,68.0,68.0
brady-krohn,M,20230124,A,50,Y,24.42,81.0,81.0,81.0
noah-thompson,M,20230112,A,50,Y,22.84,106.0,106.0,106.0
robert-boemio,M,20230124,A,50,Y,24.79,76.0,76.0,76.0
cannon-sharo-cocca,M,20230104,A,50,Y,26.69,50.0,50.0,50.0
colin-speedy,M,20221221,A,50,Y,26.29,55.0,55.0,55.0
nick-romaine,M,20230117,A,50,Y,28.16,33.0,33.0,33.0
brady-krohn,M,20230117,D,100,Y,67.51,36.0,36.0,36.0
noah-thompson,M,20221215,D,100,Y,56.42,95.0,95.0,95.0
curren-thumm,M,20230124,D,100,Y,73.34,12.0,12.0,12.0
joseph-joworski,M,20230117,D,100,Y,78.09,0.0,0.0,0.0
cal-narvaez,M,20230104,D,100,Y,59.51,77.0,77.0,77.0
aiden-padham,M,20230124,A,100,Y,55.86,64.0,64.0,64.0
trevor-kalb,M,20230124,A,100,Y,58.49,48.0,48.0,48.0
andrew-cagliostro,M,20230117,A,100,Y,60.45,37.0,37.0,37.0
noah-thompson,M,20230112,A,100,Y,51.56,93.0,93.0,93.0
cal-narvaez,M,20221221,A,100,Y,54.26,74.0,74.0,74.0
colin-speedy,M,20230124,A,100,Y,58.66,47.0,47.0,47.0
brady-krohn,M,20230104,A,500,Y,369.86,21.0,21.0,21.0
noah-thompson,M,20230117,A,500,Y,314.77,80.0,80.0,80.0
robert-boemio,M,20230124,A,500,Y,389.0,5.0,5.0,5.0
cannon-sharo-cocca,M,20221215,A,500,Y,459.44,0.0,0.0,0.0
colin-speedy,M,20230117,A,500,Y,399.6,0.0,0.0,0.0
william-mundy,M,20230112,A,500,Y,414.11,0.0,0.0,0.0
matthew-hartzfeld,M,20230124,B,100,Y,74.79,24.0,24.0,24.0
joseph-flores-502369,M,20230104,B,100,Y,68.61,46.0,46.0,46.0
andrew-cagliostro,M,20221221,B,100,Y,78.25,13.0,13.0,13.0
noah-thompson,M,20230124,B,100,Y,59.41,87.0,87.0,87.0
curren-thumm,M,20230104,B,100,Y,72.56,31.0,31.0,31.0
aiden-ferreira-1,M,20230117,B,100,Y,81.41,4.0,4.0,4.0
joseph-flores-502369,M,20221215,C,100,Y,79.67,26.0,26.0,26.0
cannon-sharo-cocca,M,20230117,C,100,Y,80.48,23.0,23.0,23.0
cal-narvaez,M,20221215,C,100,Y,68.06,76.0,76.0,76.0
ethan-godlesky,M,20230112,C,100,Y,94.26,0.0,0.0,0.0
lee-scott,M,20230124,C,100,Y,82.31,17.0,17.0,17.0
