id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
james-grullon,M,20230118,A,200,Y,143.47,6.0,6.0,6.0
tomas-loaiza,M,20221215,A,200,Y,191.26,0.0,0.0,0.0
dominic-zambrano,M,20221219,A,200,Y,199.88,0.0,0.0,0.0
ian-celi,M,20230123,A,200,Y,114.79,84.0,84.0,84.0
justin-gaitan,M,20230110,A,200,Y,181.19,0.0,0.0,0.0
alvero-car,M,20230123,A,200,Y,160.68,0.0,0.0,0.0
cesar-chiriboga,M,20221215,A,200,Y,194.6,0.0,0.0,0.0
jayden-cazares,M,20221219,A,200,Y,160.63,0.0,0.0,0.0
alejandro-zapata-1,M,20230105,A,200,Y,178.05,0.0,0.0,0.0
erin-celik,M,20230123,E,200,Y,138.57,54.0,54.0,54.0
ian-celi,M,20221219,E,200,Y,130.49,76.0,76.0,76.0
dylan-itrube,M,20230110,E,200,Y,167.63,0.0,0.0,0.0
james-grullon,M,20230119,A,50,Y,25.03,72.0,72.0,72.0
erin-celik,M,20230105,A,50,Y,25.11,71.0,71.0,71.0
wilson-encarnacion,M,20230123,A,50,Y,26.95,47.0,47.0,47.0
dominic-zambrano,M,20221215,A,50,Y,31.9,0.0,0.0,0.0
ian-celi,M,20230118,A,50,Y,23.78,91.0,91.0,91.0
alvero-car,M,20221219,A,50,Y,35.0,0.0,0.0,0.0
jayden-cazares,M,20230110,A,50,Y,26.81,49.0,49.0,49.0
erin-celik,M,20230125,D,100,Y,62.23,62.0,62.0,62.0
ian-celi,M,20221212,D,100,Y,59.52,76.0,76.0,76.0
dylan-itrube,M,20230123,D,100,Y,69.92,26.0,26.0,26.0
jayden-cazares,M,20230118,D,100,Y,66.94,39.0,39.0,39.0
james-grullon,M,20230119,A,100,Y,62.09,28.0,28.0,28.0
erin-celik,M,20221219,A,100,Y,54.24,74.0,74.0,74.0
wilson-encarnacion,M,20230119,A,100,Y,65.43,12.0,12.0,12.0
ian-celi,M,20230105,A,100,Y,53.11,82.0,82.0,82.0
justin-gaitan,M,20230118,A,100,Y,71.7,0.0,0.0,0.0
alvero-car,M,20230110,A,100,Y,71.05,0.0,0.0,0.0
brian-moreno-1,M,20221215,A,100,Y,84.97,0.0,0.0,0.0
alejandro-zapata-1,M,20230105,A,100,Y,78.97,0.0,0.0,0.0
ruben-de-hombre,M,20230125,A,100,Y,76.13,0.0,0.0,0.0
ian-celi,M,20221215,A,500,Y,315.97,79.0,79.0,79.0
alvero-car,M,20230125,A,500,Y,459.23,0.0,0.0,0.0
dylan-itrube,M,20221212,A,500,Y,407.11,0.0,0.0,0.0
alejandro-zapata-1,M,20230110,A,500,Y,501.78,0.0,0.0,0.0
ian-celi,M,20230125,B,100,Y,61.74,76.0,76.0,76.0
dylan-itrube,M,20221219,B,100,Y,82.43,1.0,1.0,1.0
cesar-chiriboga,M,20230119,B,100,Y,82.64,0.0,0.0,0.0
jayden-cazares,M,20230119,B,100,Y,73.19,29.0,29.0,29.0
james-grullon,M,20230123,C,100,Y,92.06,0.0,0.0,0.0
tomas-loaiza,M,20230110,C,100,Y,95.09,0.0,0.0,0.0
erin-celik,M,20230118,C,100,Y,77.0,36.0,36.0,36.0
ian-celi,M,20230119,C,100,Y,71.51,59.0,59.0,59.0
