id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
kylie-blood,F,20221213,A,200,Y,140.05,38.0,38.0,38.0
megan-ingenito,F,20230112,A,200,Y,160.21,0.0,0.0,0.0
bryanna-morales,F,20230126,A,200,Y,183.8,0.0,0.0,0.0
mckayla-doheny,F,20230126,A,200,Y,187.53,0.0,0.0,0.0
maddi-nelson,F,20230103,E,200,Y,177.36,0.0,0.0,0.0
caitlin-pender,F,20230124,E,200,Y,174.9,0.0,0.0,0.0
caitlin-pender,F,20221213,A,50,Y,29.77,45.0,45.0,45.0
megan-ingenito,F,20230117,A,50,Y,28.89,56.0,56.0,56.0
katelyn-williams-1,F,20221213,A,50,Y,40.85,0.0,0.0,0.0
jhoanys-flores,F,20230124,A,50,Y,34.86,0.0,0.0,0.0
bryanna-morales,F,20230126,A,50,Y,36.28,0.0,0.0,0.0
jenna-cushman,F,20230117,A,50,Y,35.6,0.0,0.0,0.0
shea-bicking,F,20230124,A,50,Y,39.88,0.0,0.0,0.0
samantha-gibboni,F,20230112,A,50,Y,30.31,38.0,38.0,38.0
kylie-blood,F,20221213,D,100,Y,79.11,20.0,20.0,20.0
caitlin-pender,F,20230126,D,100,Y,87.43,0.0,0.0,0.0
alyssa-kadaraitis,F,20221215,D,100,Y,103.57,0.0,0.0,0.0
mackenzie-vanpell,F,20230124,D,100,Y,97.14,0.0,0.0,0.0
mckayla-flood,F,20230124,D,100,Y,91.27,0.0,0.0,0.0
shea-bicking,F,20230112,D,100,Y,106.84,0.0,0.0,0.0
kylie-blood,F,20230112,A,100,Y,62.04,56.0,56.0,56.0
caitlin-pender,F,20221215,A,100,Y,67.37,25.0,25.0,25.0
megan-ingenito,F,20230124,A,100,Y,66.66,29.0,29.0,29.0
jhoanys-flores,F,20221213,A,100,Y,90.61,0.0,0.0,0.0
bryanna-morales,F,20221213,A,100,Y,100.0,0.0,0.0,0.0
mackenzie-vanpell,F,20230112,A,100,Y,84.08,0.0,0.0,0.0
mckayla-doheny,F,20221215,A,100,Y,88.0,0.0,0.0,0.0
samantha-gibboni,F,20230117,A,100,Y,71.38,4.0,4.0,4.0
haley-ingenito,F,20230124,A,100,Y,85.55,0.0,0.0,0.0
maddi-nelson,F,20230126,A,500,Y,442.96,0.0,0.0,0.0
mckayla-flood,F,20230112,A,500,Y,493.68,0.0,0.0,0.0
kylie-blood,F,20221220,B,100,Y,69.34,56.0,56.0,56.0
megan-ingenito,F,20230112,B,100,Y,81.63,1.0,1.0,1.0
bryanna-morales,F,20230126,B,100,Y,103.01,0.0,0.0,0.0
alyssa-kadaraitis,F,20230124,B,100,Y,93.16,0.0,0.0,0.0
jenna-cushman,F,20230126,B,100,Y,98.63,0.0,0.0,0.0
maddi-nelson,F,20230117,C,100,Y,90.55,14.0,14.0,14.0
katelyn-williams-1,F,20230126,C,100,Y,126.5,0.0,0.0,0.0
jenna-cushman,F,20221213,C,100,Y,132.03,0.0,0.0,0.0
mackenzie-vanpell,F,20221213,C,100,Y,95.75,0.0,0.0,0.0
mckayla-flood,F,20221220,C,100,Y,120.32,0.0,0.0,0.0
mckayla-doheny,F,20230112,C,100,Y,100.95,0.0,0.0,0.0
