id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
keeley-rushevics,F,20230103,A,200,Y,123.04,91.0,91.0,91.0
alex-enriquez,F,20230103,A,200,Y,126.1,80.0,80.0,80.0
dora-dvorkin,F,20221208,A,200,Y,124.47,86.0,86.0,86.0
erica-maltsev,F,20230103,A,200,Y,113.15,128.0,128.0,128.0
katie-pestrichelli,F,20230119,A,200,Y,115.24,120.0,120.0,120.0
lea-carranza,F,20230124,A,200,Y,127.29,76.0,76.0,76.0
katie-krause-1,F,20221213,A,200,Y,130.46,66.0,66.0,66.0
lila-blomquist,F,20221215,A,200,Y,130.34,66.0,66.0,66.0
nicolette-newsome,F,20230110,A,200,Y,125.32,83.0,83.0,83.0
heesoo-kim,F,20230124,A,200,Y,131.35,63.0,63.0,63.0
anchana-arunachalam,F,20221215,A,200,Y,161.82,0.0,0.0,0.0
sahana-radhakrishnan,F,20230105,A,200,Y,145.03,25.0,25.0,25.0
juliana-imwalle,F,20230105,A,200,Y,138.3,43.0,43.0,43.0
anna-blomquist,F,20230105,A,200,Y,140.51,37.0,37.0,37.0
alex-enriquez,F,20230110,E,200,Y,144.47,71.0,71.0,71.0
dora-dvorkin,F,20230103,E,200,Y,139.69,86.0,86.0,86.0
erica-maltsev,F,20230110,E,200,Y,124.61,139.0,139.0,139.0
amanda-chau,F,20230119,E,200,Y,140.56,83.0,83.0,83.0
katie-pestrichelli,F,20230103,E,200,Y,135.94,98.0,98.0,98.0
lea-carranza,F,20221215,E,200,Y,146.43,66.0,66.0,66.0
katie-krause-1,F,20230105,E,200,Y,146.05,67.0,67.0,67.0
lila-blomquist,F,20230124,E,200,Y,146.3,66.0,66.0,66.0
nicolette-newsome,F,20221220,E,200,Y,146.13,67.0,67.0,67.0
claire-zhu-1,F,20221215,E,200,Y,160.22,30.0,30.0,30.0
tiffany-bui,F,20230105,E,200,Y,171.04,6.0,6.0,6.0
keeley-rushevics,F,20230124,A,50,Y,26.9,84.0,84.0,84.0
alex-enriquez,F,20221215,A,50,Y,27.55,74.0,74.0,74.0
erica-maltsev,F,20230124,A,50,Y,25.48,106.0,106.0,106.0
lea-carranza,F,20230119,A,50,Y,25.58,105.0,105.0,105.0
marisol-mattia,F,20230119,A,50,Y,25.24,110.0,110.0,110.0
katie-krause-1,F,20230110,A,50,Y,26.32,93.0,93.0,93.0
lila-blomquist,F,20221220,A,50,Y,26.44,91.0,91.0,91.0
claire-hegedus,F,20230124,A,50,Y,28.33,63.0,63.0,63.0
heesoo-kim,F,20230103,A,50,Y,26.84,85.0,85.0,85.0
jenna-ali,F,20230119,A,50,Y,26.4,91.0,91.0,91.0
vaanya-salwan,F,20221215,A,50,Y,35.21,0.0,0.0,0.0
adora-rao,F,20230105,A,50,Y,30.32,38.0,38.0,38.0
tanisha-malhotra,F,20230105,A,50,Y,32.01,19.0,19.0,19.0
alex-enriquez,F,20230124,D,100,Y,67.44,70.0,70.0,70.0
dora-dvorkin,F,20230105,D,100,Y,74.7,37.0,37.0,37.0
erica-maltsev,F,20230110,D,100,Y,57.48,127.0,127.0,127.0
amanda-chau,F,20230110,D,100,Y,63.06,93.0,93.0,93.0
katie-pestrichelli,F,20221215,D,100,Y,69.2,61.0,61.0,61.0
lea-carranza,F,20221220,D,100,Y,66.54,74.0,74.0,74.0
marisol-mattia,F,20221215,D,100,Y,66.16,76.0,76.0,76.0
katie-krause-1,F,20230119,D,100,Y,64.59,84.0,84.0,84.0
lila-blomquist,F,20230119,D,100,Y,60.93,105.0,105.0,105.0
heesoo-kim,F,20230105,D,100,Y,76.4,30.0,30.0,30.0
claire-zhu-1,F,20230105,D,100,Y,75.91,32.0,32.0,32.0
sahana-radhakrishnan,F,20221215,D,100,Y,74.22,39.0,39.0,39.0
keeley-rushevics,F,20230110,A,100,Y,57.46,88.0,88.0,88.0
erica-maltsev,F,20230103,A,100,Y,52.78,126.0,126.0,126.0
katie-pestrichelli,F,20230124,A,100,Y,56.59,95.0,95.0,95.0
lea-carranza,F,20230119,A,100,Y,56.05,99.0,99.0,99.0
marisol-mattia,F,20230119,A,100,Y,55.86,100.0,100.0,100.0
nicolette-newsome,F,20230119,A,100,Y,56.12,98.0,98.0,98.0
claire-hegedus,F,20221215,A,100,Y,59.57,73.0,73.0,73.0
deborah-he,F,20230105,A,100,Y,64.08,44.0,44.0,44.0
jenna-ali,F,20221220,A,100,Y,59.38,74.0,74.0,74.0
adora-rao,F,20221215,A,100,Y,68.41,19.0,19.0,19.0
