id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
kianna-riera,F,20221208,A,200,Y,137.54,45.0,45.0,45.0
kirsten-shave,F,20221208,A,200,Y,145.97,22.0,22.0,22.0
sasha-paulyson,F,20221208,A,200,Y,147.13,19.0,19.0,19.0
lylah-wilhelm,F,20230124,A,200,Y,137.24,46.0,46.0,46.0
julia-hulse,F,20230111,A,200,Y,134.72,53.0,53.0,53.0
adelena-paine,F,20230117,A,200,Y,149.86,13.0,13.0,13.0
daniela-goldate,F,20230124,A,200,Y,159.38,0.0,0.0,0.0
ula-sokolowski,F,20221215,A,200,Y,163.51,0.0,0.0,0.0
jaclyn-kamm,F,20230104,A,200,Y,169.67,0.0,0.0,0.0
leah-rogers,F,20230111,A,200,Y,182.48,0.0,0.0,0.0
sasha-paulyson,F,20230117,E,200,Y,163.32,23.0,23.0,23.0
eliana-ruan,F,20221215,E,200,Y,159.28,32.0,32.0,32.0
alexa-roemer-1,F,20221213,E,200,Y,167.55,13.0,13.0,13.0
meredith-ruple,F,20221221,E,200,Y,164.41,20.0,20.0,20.0
lylah-wilhelm,F,20230104,E,200,Y,158.68,34.0,34.0,34.0
julia-hulse,F,20230124,E,200,Y,142.9,76.0,76.0,76.0
ava-morrison,F,20230124,E,200,Y,155.6,41.0,41.0,41.0
daniela-goldate,F,20230104,E,200,Y,183.07,0.0,0.0,0.0
isabel-graceffo,F,20230110,E,200,Y,178.75,0.0,0.0,0.0
gemma-grande-1,F,20230124,E,200,Y,183.59,0.0,0.0,0.0
alexa-roemer-1,F,20230124,A,50,Y,27.26,78.0,78.0,78.0
tamiyanna-roemer,F,20221208,A,50,Y,26.82,85.0,85.0,85.0
lylah-wilhelm,F,20230117,A,50,Y,26.01,98.0,98.0,98.0
ava-reeves-1,F,20221221,A,50,Y,32.26,17.0,17.0,17.0
ava-dreyer,F,20230124,A,50,Y,28.6,60.0,60.0,60.0
mila-melikan,F,20230124,A,50,Y,31.34,27.0,27.0,27.0
breona-pizzuta,F,20230111,A,50,Y,29.26,51.0,51.0,51.0
avery-avella,F,20230104,A,50,Y,33.82,1.0,1.0,1.0
sasha-paulyson,F,20230124,D,100,Y,75.53,34.0,34.0,34.0
natalie-oliviera,F,20221213,D,100,Y,74.16,39.0,39.0,39.0
ava-dreyer,F,20221208,D,100,Y,77.81,25.0,25.0,25.0
mila-melikan,F,20221221,D,100,Y,89.17,0.0,0.0,0.0
julia-hulse,F,20230104,D,100,Y,67.37,70.0,70.0,70.0
daniela-goldate,F,20230111,D,100,Y,85.85,0.0,0.0,0.0
audrey-mcmahon,F,20221215,D,100,Y,91.32,0.0,0.0,0.0
gemma-grande-1,F,20230110,D,100,Y,112.88,0.0,0.0,0.0
sasha-paulyson,F,20230110,A,100,Y,68.56,19.0,19.0,19.0
alexa-roemer-1,F,20230117,A,100,Y,68.09,21.0,21.0,21.0
meredith-ruple,F,20221213,A,100,Y,71.9,2.0,2.0,2.0
tamiyanna-roemer,F,20230120,A,100,Y,60.96,63.0,63.0,63.0
lylah-wilhelm,F,20230124,A,100,Y,62.37,54.0,54.0,54.0
ava-reeves-1,F,20230124,A,100,Y,74.09,0.0,0.0,0.0
ava-dreyer,F,20221221,A,100,Y,62.41,54.0,54.0,54.0
julia-hulse,F,20230117,A,100,Y,58.03,84.0,84.0,84.0
breona-pizzuta,F,20221208,A,100,Y,67.98,22.0,22.0,22.0
leah-rogers,F,20230124,A,100,Y,76.43,0.0,0.0,0.0
kianna-riera,F,20230124,A,500,Y,373.75,38.0,38.0,38.0
kirsten-shave,F,20230120,A,500,Y,421.44,0.0,0.0,0.0
sasha-paulyson,F,20221213,A,500,Y,348.74,66.0,66.0,66.0
eliana-ruan,F,20230104,A,500,Y,411.61,3.0,3.0,3.0
natalie-oliviera,F,20230104,A,500,Y,402.96,10.0,10.0,10.0
julia-hulse,F,20221221,A,500,Y,337.21,80.0,80.0,80.0
aila-riera,F,20221208,A,500,Y,393.44,19.0,19.0,19.0
adelena-paine,F,20230120,A,500,Y,392.16,20.0,20.0,20.0
ava-morrison,F,20221208,A,500,Y,404.93,8.0,8.0,8.0
ula-sokolowski,F,20230124,A,500,Y,445.77,0.0,0.0,0.0
audrey-mcmahon,F,20230111,A,500,Y,483.43,0.0,0.0,0.0
kianna-riera,F,20221221,B,100,Y,73.56,35.0,35.0,35.0
sasha-paulyson,F,20221215,B,100,Y,75.63,25.0,25.0,25.0
eliana-ruan,F,20230120,B,100,Y,75.72,25.0,25.0,25.0
alexa-roemer-1,F,20230120,B,100,Y,74.18,32.0,32.0,32.0
lylah-wilhelm,F,20230111,B,100,Y,71.13,46.0,46.0,46.0
julia-hulse,F,20221215,B,100,Y,65.12,79.0,79.0,79.0
breona-pizzuta,F,20230104,B,100,Y,72.01,42.0,42.0,42.0
alexa-roemer-1,F,20221208,C,100,Y,84.75,35.0,35.0,35.0
lylah-wilhelm,F,20230117,C,100,Y,75.48,76.0,76.0,76.0
ava-dreyer,F,20230124,C,100,Y,84.78,35.0,35.0,35.0
julia-hulse,F,20230120,C,100,Y,77.56,66.0,66.0,66.0
aila-riera,F,20230104,C,100,Y,81.37,49.0,49.0,49.0
ava-morrison,F,20221221,C,100,Y,83.01,42.0,42.0,42.0
daniela-goldate,F,20230111,C,100,Y,91.72,10.0,10.0,10.0
isabel-graceffo,F,20230124,C,100,Y,90.26,15.0,15.0,15.0
gemma-grande-1,F,20230120,C,100,Y,92.12,8.0,8.0,8.0
