id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
olivia-pascaru,F,20221208,A,200,Y,153.04,5.0,5.0,5.0
leah-botvinnik,F,20230105,A,200,Y,150.38,12.0,12.0,12.0
paula-abreu,F,20230124,A,200,Y,166.7,0.0,0.0,0.0
olivia-lyons,F,20230109,A,200,Y,136.07,49.0,49.0,49.0
aleks-katashev,F,20221219,A,200,Y,152.54,6.0,6.0,6.0
nika-chmigelski,F,20230121,A,200,Y,121.9,95.0,95.0,95.0
isabella-doran,F,20221219,A,200,Y,201.93,0.0,0.0,0.0
mary-zarubina-1,F,20221219,A,200,Y,140.47,37.0,37.0,37.0
olivia-pascaru,F,20221214,E,200,Y,172.59,3.0,3.0,3.0
olivia-lyons,F,20230124,E,200,Y,150.63,54.0,54.0,54.0
skylar-coleman,F,20221208,E,200,Y,163.93,21.0,21.0,21.0
ameilia-stapor,F,20230124,E,200,Y,231.41,0.0,0.0,0.0
katie-chiong,F,20230112,E,200,Y,171.81,4.0,4.0,4.0
gianna-garcia,F,20230105,E,200,Y,183.06,0.0,0.0,0.0
nika-chmigelski,F,20230109,E,200,Y,155.59,41.0,41.0,41.0
isabella-doran,F,20230112,E,200,Y,210.45,0.0,0.0,0.0
leah-botvinnik,F,20221219,A,50,Y,31.71,22.0,22.0,22.0
paula-abreu,F,20221219,A,50,Y,32.25,17.0,17.0,17.0
aleks-katashev,F,20221208,A,50,Y,28.16,66.0,66.0,66.0
katerina-sudentene,F,20221208,A,50,Y,25.74,102.0,102.0,102.0
ameilia-stapor,F,20221221,A,50,Y,38.14,0.0,0.0,0.0
gianna-garcia,F,20221214,A,50,Y,28.7,58.0,58.0,58.0
nika-chmigelski,F,20221219,A,50,Y,26.23,94.0,94.0,94.0
isabella-doran,F,20221214,A,50,Y,35.32,0.0,0.0,0.0
mary-zarubina-1,F,20230105,A,50,Y,26.92,83.0,83.0,83.0
nethra-palanisamy,F,20230112,A,50,Y,40.22,0.0,0.0,0.0
ishya-gupta,F,20230109,A,50,Y,53.65,0.0,0.0,0.0
olivia-lyons,F,20230109,D,100,Y,70.39,55.0,55.0,55.0
skylar-coleman,F,20221208,D,100,Y,73.25,43.0,43.0,43.0
katerina-sudentene,F,20221214,D,100,Y,66.59,74.0,74.0,74.0
katie-chiong,F,20221214,D,100,Y,82.53,8.0,8.0,8.0
gianna-garcia,F,20221219,D,100,Y,91.2,0.0,0.0,0.0
isabella-doran,F,20230124,D,100,Y,103.18,0.0,0.0,0.0
aleks-katashev,F,20221221,A,100,Y,65.37,36.0,36.0,36.0
katerina-sudentene,F,20221221,A,100,Y,57.87,85.0,85.0,85.0
ameilia-stapor,F,20221214,A,100,Y,91.14,0.0,0.0,0.0
katie-chiong,F,20230124,A,100,Y,70.51,9.0,9.0,9.0
gianna-garcia,F,20230112,A,100,Y,71.44,4.0,4.0,4.0
nika-chmigelski,F,20221208,A,100,Y,56.99,91.0,91.0,91.0
isabella-doran,F,20230112,A,100,Y,83.82,0.0,0.0,0.0
mary-zarubina-1,F,20221214,A,100,Y,59.14,76.0,76.0,76.0
amy-wadie,F,20230109,A,100,Y,100.06,0.0,0.0,0.0
alexandrea-latoza,F,20230109,A,100,Y,100.63,0.0,0.0,0.0
leah-botvinnik,F,20230105,A,500,Y,407.7,6.0,6.0,6.0
paula-abreu,F,20230124,A,500,Y,458.52,0.0,0.0,0.0
olivia-lyons,F,20230121,A,500,Y,347.53,67.0,67.0,67.0
aleks-katashev,F,20230109,A,500,Y,411.62,3.0,3.0,3.0
katie-chiong,F,20230109,A,500,Y,462.71,0.0,0.0,0.0
nika-chmigelski,F,20230109,A,500,Y,365.09,47.0,47.0,47.0
olivia-pascaru,F,20221214,B,100,Y,81.81,0.0,0.0,0.0
leah-botvinnik,F,20230109,B,100,Y,76.0,24.0,24.0,24.0
paula-abreu,F,20230109,B,100,Y,86.88,0.0,0.0,0.0
skylar-coleman,F,20221221,B,100,Y,74.81,29.0,29.0,29.0
katerina-sudentene,F,20221214,B,100,Y,62.69,94.0,94.0,94.0
ameilia-stapor,F,20230105,B,100,Y,117.98,0.0,0.0,0.0
gianna-garcia,F,20221214,B,100,Y,81.06,3.0,3.0,3.0
emersyn-montalvo,F,20221208,B,100,Y,88.2,0.0,0.0,0.0
olivia-pascaru,F,20221208,C,100,Y,89.33,18.0,18.0,18.0
ameilia-stapor,F,20230124,C,100,Y,99.06,0.0,0.0,0.0
katie-chiong,F,20230112,C,100,Y,82.09,46.0,46.0,46.0
nika-chmigelski,F,20221221,C,100,Y,77.66,65.0,65.0,65.0
mary-zarubina-1,F,20221214,C,100,Y,76.77,70.0,70.0,70.0
nethra-palanisamy,F,20230124,C,100,Y,106.19,0.0,0.0,0.0
