id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
sydney-rudder,F,20230130,A,200,Y,131.91,61.0,61.0,61.0
alexandra-brown-1,F,20230119,A,200,Y,131.43,63.0,63.0,63.0
ellie-mcfadden,F,20230107,A,200,Y,143.91,28.0,28.0,28.0
kate-barone,F,20230107,A,200,Y,128.54,72.0,72.0,72.0
anna-stolarick,F,20230126,A,200,Y,134.57,53.0,53.0,53.0
erin-maynes,F,20230126,A,200,Y,136.74,47.0,47.0,47.0
audrey-seiger,F,20230105,A,200,Y,133.36,57.0,57.0,57.0
julia-mchale,F,20221213,A,200,Y,136.04,49.0,49.0,49.0
emily-asselin,F,20230105,A,200,Y,144.66,26.0,26.0,26.0
olivia-hogan,F,20230119,A,200,Y,125.0,84.0,84.0,84.0
lilliana-kuball,F,20230111,A,200,Y,123.16,90.0,90.0,90.0
kouser-kaitlyn,F,20230119,A,200,Y,133.88,55.0,55.0,55.0
alyssa-mchale,F,20230126,A,200,Y,124.53,85.0,85.0,85.0
kate-barone,F,20221209,E,200,Y,145.1,70.0,70.0,70.0
maeve-kirwan,F,20230107,E,200,Y,162.12,26.0,26.0,26.0
sophia-lapointe,F,20230111,E,200,Y,162.55,25.0,25.0,25.0
molly-mcdonnell,F,20230105,E,200,Y,139.58,86.0,86.0,86.0
anna-stolarick,F,20230119,E,200,Y,152.93,48.0,48.0,48.0
julia-mchale,F,20230126,E,200,Y,157.72,36.0,36.0,36.0
lilly-ellis,F,20221213,E,200,Y,164.02,21.0,21.0,21.0
olivia-hogan,F,20221221,E,200,Y,140.49,83.0,83.0,83.0
lilliana-kuball,F,20221221,E,200,Y,137.27,94.0,94.0,94.0
alexandra-brown-1,F,20230111,A,50,Y,27.43,76.0,76.0,76.0
ellie-mcfadden,F,20230126,A,50,Y,27.31,78.0,78.0,78.0
molly-mcdonnell,F,20221209,A,50,Y,25.63,104.0,104.0,104.0
anna-stolarick,F,20230107,A,50,Y,26.91,84.0,84.0,84.0
erin-maynes,F,20221221,A,50,Y,27.36,77.0,77.0,77.0
audrey-seiger,F,20221221,A,50,Y,25.49,106.0,106.0,106.0
julia-mchale,F,20230130,A,50,Y,26.35,92.0,92.0,92.0
makayla-cordova-1,F,20230126,A,50,Y,28.38,63.0,63.0,63.0
lilliana-kuball,F,20230126,A,50,Y,25.67,103.0,103.0,103.0
alyssa-mchale,F,20230107,A,50,Y,24.98,115.0,115.0,115.0
alexandra-brown-1,F,20230105,D,100,Y,73.22,43.0,43.0,43.0
maeve-kirwan,F,20230130,D,100,Y,72.55,46.0,46.0,46.0
audrey-seiger,F,20230111,D,100,Y,66.55,74.0,74.0,74.0
julia-mchale,F,20230111,D,100,Y,67.91,67.0,67.0,67.0
mary-bentley,F,20221209,D,100,Y,74.48,38.0,38.0,38.0
emily-asselin,F,20230130,D,100,Y,73.67,41.0,41.0,41.0
lola-parker-kearney,F,20221213,D,100,Y,76.79,29.0,29.0,29.0
olivia-hogan,F,20230126,D,100,Y,64.48,85.0,85.0,85.0
alyssa-mchale,F,20221221,D,100,Y,59.24,116.0,116.0,116.0
alexandra-brown-1,F,20230111,A,100,Y,59.87,71.0,71.0,71.0
ellie-mcfadden,F,20230111,A,100,Y,61.1,63.0,63.0,63.0
kate-barone,F,20221209,A,100,Y,60.46,67.0,67.0,67.0
molly-mcdonnell,F,20230107,A,100,Y,56.29,97.0,97.0,97.0
anna-stolarick,F,20230111,A,100,Y,60.33,68.0,68.0,68.0
erin-maynes,F,20230130,A,100,Y,59.65,72.0,72.0,72.0
julia-mchale,F,20230107,A,100,Y,58.59,80.0,80.0,80.0
makayla-cordova-1,F,20221213,A,100,Y,65.98,33.0,33.0,33.0
kate-maynes,F,20230126,A,100,Y,64.34,42.0,42.0,42.0
kouser-kaitlyn,F,20230126,A,100,Y,60.99,63.0,63.0,63.0
alyssa-mchale,F,20230130,A,100,Y,55.1,106.0,106.0,106.0
sydney-rudder,F,20230130,A,500,Y,359.53,53.0,53.0,53.0
ellie-mcfadden,F,20221213,A,500,Y,398.39,14.0,14.0,14.0
kate-barone,F,20230119,A,500,Y,352.47,62.0,62.0,62.0
sophia-lapointe,F,20230107,A,500,Y,390.25,22.0,22.0,22.0
mary-bentley,F,20230126,A,500,Y,420.16,0.0,0.0,0.0
emily-asselin,F,20221209,A,500,Y,395.84,17.0,17.0,17.0
olivia-hogan,F,20230119,A,500,Y,332.26,86.0,86.0,86.0
kate-maynes,F,20221213,A,500,Y,415.21,0.0,0.0,0.0
lilliana-kuball,F,20230126,A,500,Y,332.47,86.0,86.0,86.0
kouser-kaitlyn,F,20230105,A,500,Y,365.39,47.0,47.0,47.0
avery-gallagher,F,20230126,A,500,Y,393.3,19.0,19.0,19.0
kate-barone,F,20221213,B,100,Y,69.09,57.0,57.0,57.0
sophia-lapointe,F,20230126,B,100,Y,72.62,39.0,39.0,39.0
audrey-seiger,F,20221209,B,100,Y,65.68,76.0,76.0,76.0
julia-mchale,F,20230111,B,100,Y,66.88,69.0,69.0,69.0
mary-bentley,F,20230105,B,100,Y,75.95,24.0,24.0,24.0
lilly-ellis,F,20230130,B,100,Y,71.55,44.0,44.0,44.0
allie-worton,F,20221213,B,100,Y,80.22,6.0,6.0,6.0
kouser-kaitlyn,F,20230111,B,100,Y,66.05,74.0,74.0,74.0
alyssa-mchale,F,20230105,B,100,Y,60.32,110.0,110.0,110.0
kate-barone,F,20230130,C,100,Y,78.68,61.0,61.0,61.0
molly-mcdonnell,F,20230111,C,100,Y,71.0,99.0,99.0,99.0
anna-stolarick,F,20230111,C,100,Y,76.5,71.0,71.0,71.0
audrey-seiger,F,20230107,C,100,Y,79.7,56.0,56.0,56.0
lola-parker-kearney,F,20230119,C,100,Y,82.11,46.0,46.0,46.0
olivia-hogan,F,20221213,C,100,Y,73.37,87.0,87.0,87.0
lilliana-kuball,F,20230111,C,100,Y,68.0,117.0,117.0,117.0
katerina-kuball,F,20230105,C,100,Y,95.85,0.0,0.0,0.0
