id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
anna-smithson,F,20221212,A,200,Y,138.15,43.0,43.0,43.0
ovgu-yilmaz,F,20230119,A,200,Y,158.75,0.0,0.0,0.0
lilyana-vandero,F,20221212,A,200,Y,164.39,0.0,0.0,0.0
neveah-quick,F,20230110,A,200,Y,225.93,0.0,0.0,0.0
sarah-torres-651392,F,20230119,A,200,Y,185.82,0.0,0.0,0.0
gina-mazza,F,20230105,A,200,Y,196.75,0.0,0.0,0.0
kira-casler,F,20221214,E,200,Y,161.86,26.0,26.0,26.0
ovgu-yilmaz,F,20230119,A,50,Y,31.23,28.0,28.0,28.0
neveah-quick,F,20230117,A,50,Y,41.84,0.0,0.0,0.0
l-rucuch,F,20230123,A,50,Y,38.93,0.0,0.0,0.0
sarah-torres-651392,F,20230119,A,50,Y,36.47,0.0,0.0,0.0
gina-mazza,F,20230117,A,50,Y,31.92,20.0,20.0,20.0
habiba-hassan,F,20221220,A,50,Y,40.49,0.0,0.0,0.0
chelsea-ramil,F,20230110,A,50,Y,40.86,0.0,0.0,0.0
jameson-moulds,F,20230110,A,50,Y,36.65,0.0,0.0,0.0
arbelis-collado,F,20230105,A,50,Y,43.37,0.0,0.0,0.0
sasha-culcay,F,20230119,A,50,Y,40.52,0.0,0.0,0.0
kira-casler,F,20221214,D,100,Y,77.09,27.0,27.0,27.0
mia-galan,F,20221214,D,100,Y,102.79,0.0,0.0,0.0
gina-mazza,F,20230123,D,100,Y,113.85,0.0,0.0,0.0
neveah-quick,F,20221212,A,100,Y,103.86,0.0,0.0,0.0
l-rucuch,F,20230110,A,100,Y,97.54,0.0,0.0,0.0
mia-galan,F,20221214,A,100,Y,87.05,0.0,0.0,0.0
nathania-chacon,F,20230105,A,100,Y,85.05,0.0,0.0,0.0
k-meija,F,20221208,A,100,Y,100.29,0.0,0.0,0.0
sarah-torres-651392,F,20230110,A,100,Y,84.52,0.0,0.0,0.0
gina-mazza,F,20230117,A,100,Y,77.47,0.0,0.0,0.0
habiba-hassan,F,20221214,A,100,Y,90.33,0.0,0.0,0.0
chelsea-ramil,F,20230119,A,100,Y,93.22,0.0,0.0,0.0
jameson-moulds,F,20230117,A,100,Y,91.09,0.0,0.0,0.0
arbelis-collado,F,20230123,A,100,Y,85.82,0.0,0.0,0.0
sasha-culcay,F,20230123,A,100,Y,102.1,0.0,0.0,0.0
anna-smithson,F,20221212,A,500,Y,358.63,54.0,54.0,54.0
ovgu-yilmaz,F,20230117,A,500,Y,429.45,0.0,0.0,0.0
lilyana-vandero,F,20230123,A,500,Y,440.46,0.0,0.0,0.0
k-meija,F,20230110,A,500,Y,582.51,0.0,0.0,0.0
anna-smithson,F,20221220,B,100,Y,72.84,38.0,38.0,38.0
lilyana-vandero,F,20230117,B,100,Y,84.29,0.0,0.0,0.0
nathania-chacon,F,20230119,B,100,Y,94.99,0.0,0.0,0.0
sarah-torres-651392,F,20230123,B,100,Y,94.95,0.0,0.0,0.0
sasha-culcay,F,20230105,B,100,Y,121.89,0.0,0.0,0.0
neveah-quick,F,20230119,C,100,Y,144.59,0.0,0.0,0.0
l-rucuch,F,20221208,C,100,Y,159.62,0.0,0.0,0.0
k-meija,F,20230117,C,100,Y,124.86,0.0,0.0,0.0
chelsea-ramil,F,20230105,C,100,Y,120.97,0.0,0.0,0.0
