id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
ciara-bates,F,20221220,A,200,Y,135.06,52.0,52.0,52.0
grace-buffa,F,20221208,A,200,Y,141.21,35.0,35.0,35.0
addie-ihlefeld,F,20230123,A,200,Y,159.54,0.0,0.0,0.0
lexi-ramos,F,20230109,A,200,Y,145.55,23.0,23.0,23.0
lianna-lo,F,20221212,A,200,Y,135.1,52.0,52.0,52.0
maddie-schmid,F,20230105,A,200,Y,147.85,18.0,18.0,18.0
sophia-chopan,F,20221220,A,200,Y,157.8,0.0,0.0,0.0
caitlin-stubbs,F,20230103,A,200,Y,131.52,63.0,63.0,63.0
jennifer-kale,F,20230105,A,200,Y,162.01,0.0,0.0,0.0
olivia-pomin,F,20221222,A,200,Y,173.08,0.0,0.0,0.0
delaney-zeidman,F,20221222,A,200,Y,177.49,0.0,0.0,0.0
ciara-bates,F,20221212,E,200,Y,156.74,38.0,38.0,38.0
cassie-morehart,F,20230113,E,200,Y,142.86,76.0,76.0,76.0
lexi-ramos,F,20230117,E,200,Y,172.45,3.0,3.0,3.0
noelle-go,F,20230113,E,200,Y,189.86,0.0,0.0,0.0
maddie-schmid,F,20230123,E,200,Y,160.38,30.0,30.0,30.0
maia-cinca,F,20221212,E,200,Y,166.48,16.0,16.0,16.0
brianna-graham-2,F,20230117,E,200,Y,165.61,18.0,18.0,18.0
claire-bacskai,F,20221222,E,200,Y,199.86,0.0,0.0,0.0
madeline-hering,F,20221222,E,200,Y,214.25,0.0,0.0,0.0
natalie-zamirowski,F,20230105,E,200,Y,202.7,0.0,0.0,0.0
leah-zeidman,F,20221222,E,200,Y,194.2,0.0,0.0,0.0
ciara-bates,F,20230117,A,50,Y,29.45,49.0,49.0,49.0
grace-buffa,F,20221212,A,50,Y,28.39,63.0,63.0,63.0
addie-ihlefeld,F,20221220,A,50,Y,32.42,15.0,15.0,15.0
noelle-go,F,20221212,A,50,Y,32.42,15.0,15.0,15.0
lianna-lo,F,20221208,A,50,Y,27.87,70.0,70.0,70.0
maddie-schmid,F,20230113,A,50,Y,29.53,48.0,48.0,48.0
sophia-chopan,F,20221208,A,50,Y,32.19,17.0,17.0,17.0
maia-cinca,F,20230123,A,50,Y,28.95,55.0,55.0,55.0
jennifer-kale,F,20230117,A,50,Y,32.67,12.0,12.0,12.0
elena-abreu,F,20221212,A,50,Y,39.54,0.0,0.0,0.0
olivia-pomin,F,20230105,A,50,Y,35.19,0.0,0.0,0.0
caitlin-powers,F,20221222,A,50,Y,36.43,0.0,0.0,0.0
maeve-geurds-1,F,20230123,A,50,Y,29.95,43.0,43.0,43.0
grace-buffa,F,20221222,D,100,Y,79.95,17.0,17.0,17.0
cassie-morehart,F,20221212,D,100,Y,66.87,72.0,72.0,72.0
lexi-ramos,F,20230105,D,100,Y,90.64,0.0,0.0,0.0
lianna-lo,F,20230113,D,100,Y,68.73,63.0,63.0,63.0
maddie-schmid,F,20221222,D,100,Y,79.25,19.0,19.0,19.0
sophia-chopan,F,20230109,D,100,Y,84.64,1.0,1.0,1.0
maia-cinca,F,20230123,D,100,Y,75.0,36.0,36.0,36.0
natalia-rodriguez-ibanez,F,20221208,D,100,Y,82.59,8.0,8.0,8.0
brianna-graham-2,F,20230123,D,100,Y,75.54,33.0,33.0,33.0
leah-zeidman,F,20230105,D,100,Y,103.12,0.0,0.0,0.0
grace-buffa,F,20230123,A,100,Y,63.64,46.0,46.0,46.0
