id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
layla-knoll,F,20221213,A,200,Y,130.69,65.0,65.0,65.0
eva-deng,F,20221213,A,200,Y,150.13,12.0,12.0,12.0
nina-kornchankul,F,20221213,A,200,Y,195.33,0.0,0.0,0.0
alexis-lee-2,F,20221220,A,200,Y,144.16,27.0,27.0,27.0
karen-wu,F,20230119,A,200,Y,122.46,93.0,93.0,93.0
evelyn-juliano,F,20230119,A,200,Y,142.13,32.0,32.0,32.0
sasha-knoll,F,20230104,A,200,Y,156.27,0.0,0.0,0.0
anna-kulesa,F,20230119,A,200,Y,158.07,0.0,0.0,0.0
meredith-mckeever,F,20230104,A,200,Y,165.81,0.0,0.0,0.0
mackenzie-dickson,F,20230110,A,200,Y,173.8,0.0,0.0,0.0
layla-knoll,F,20221220,E,200,Y,156.88,38.0,38.0,38.0
eva-deng,F,20221220,E,200,Y,165.17,19.0,19.0,19.0
isabelle-guarino,F,20221213,E,200,Y,142.28,78.0,78.0,78.0
emma-dooley,F,20221213,E,200,Y,157.28,37.0,37.0,37.0
alexis-lee-2,F,20230117,E,200,Y,156.72,39.0,39.0,39.0
karen-wu,F,20230110,E,200,Y,140.51,83.0,83.0,83.0
erin-barisonek,F,20230119,E,200,Y,141.29,81.0,81.0,81.0
sophia-modi,F,20230110,E,200,Y,207.99,0.0,0.0,0.0
sasha-knoll,F,20230110,E,200,Y,188.52,0.0,0.0,0.0
louise-nielsen,F,20230104,E,200,Y,190.83,0.0,0.0,0.0
eva-deng,F,20230119,A,50,Y,28.37,63.0,63.0,63.0
nina-kornchankul,F,20230119,A,50,Y,29.65,46.0,46.0,46.0
isabelle-guarino,F,20221220,A,50,Y,28.14,66.0,66.0,66.0
emma-dooley,F,20230110,A,50,Y,28.84,57.0,57.0,57.0
alexis-lee-2,F,20230110,A,50,Y,29.31,51.0,51.0,51.0
karen-wu,F,20221213,A,50,Y,25.33,109.0,109.0,109.0
evelyn-juliano,F,20221213,A,50,Y,27.63,73.0,73.0,73.0
fiona-beacom,F,20230119,A,50,Y,28.63,59.0,59.0,59.0
louise-nielsen,F,20230110,A,50,Y,32.0,19.0,19.0,19.0
eva-deng,F,20230104,D,100,Y,78.06,24.0,24.0,24.0
alexis-lee-2,F,20230104,D,100,Y,76.65,29.0,29.0,29.0
karen-wu,F,20230104,D,100,Y,62.25,97.0,97.0,97.0
evelyn-juliano,F,20230119,D,100,Y,79.87,17.0,17.0,17.0
erin-barisonek,F,20230119,D,100,Y,63.09,93.0,93.0,93.0
sophia-modi,F,20221220,D,100,Y,88.7,0.0,0.0,0.0
sasha-knoll,F,20221220,D,100,Y,94.81,0.0,0.0,0.0
meredith-mckeever,F,20230117,D,100,Y,97.4,0.0,0.0,0.0
mackenzie-dickson,F,20230119,D,100,Y,100.38,0.0,0.0,0.0
layla-knoll,F,20230117,A,100,Y,59.2,75.0,75.0,75.0
eva-deng,F,20230117,A,100,Y,63.83,45.0,45.0,45.0
nina-kornchankul,F,20230104,A,100,Y,81.28,0.0,0.0,0.0
karen-wu,F,20230119,A,100,Y,54.81,109.0,109.0,109.0
evelyn-juliano,F,20221213,A,100,Y,63.14,49.0,49.0,49.0
fiona-beacom,F,20221213,A,100,Y,66.66,29.0,29.0,29.0
sophia-modi,F,20230119,A,100,Y,72.53,0.0,0.0,0.0
stacy-deng,F,20221220,A,100,Y,69.37,14.0,14.0,14.0
anna-kulesa,F,20230110,A,100,Y,75.61,0.0,0.0,0.0
layla-knoll,F,20230119,A,500,Y,361.47,51.0,51.0,51.0
isabelle-guarino,F,20230117,A,500,Y,366.94,45.0,45.0,45.0
emma-dooley,F,20230110,A,500,Y,370.86,41.0,41.0,41.0
alexis-lee-2,F,20230119,A,500,Y,392.45,20.0,20.0,20.0
karen-wu,F,20230110,A,500,Y,346.07,69.0,69.0,69.0
evelyn-juliano,F,20221220,A,500,Y,417.49,0.0,0.0,0.0
erin-barisonek,F,20221220,A,500,Y,337.31,80.0,80.0,80.0
sasha-knoll,F,20230119,A,500,Y,434.31,0.0,0.0,0.0
louise-nielsen,F,20221213,A,500,Y,485.43,0.0,0.0,0.0
anna-kulesa,F,20230104,A,500,Y,457.53,0.0,0.0,0.0
meredith-mckeever,F,20221220,A,500,Y,457.7,0.0,0.0,0.0
mackenzie-dickson,F,20230117,A,500,Y,474.27,0.0,0.0,0.0
caitlin-jobe,F,20230117,A,500,Y,473.4,0.0,0.0,0.0
eva-deng,F,20230104,B,100,Y,71.87,43.0,43.0,43.0
emma-dooley,F,20221213,B,100,Y,70.39,50.0,50.0,50.0
alexis-lee-2,F,20230119,B,100,Y,74.97,28.0,28.0,28.0
karen-wu,F,20230117,B,100,Y,64.84,81.0,81.0,81.0
erin-barisonek,F,20221213,B,100,Y,63.46,89.0,89.0,89.0
sasha-knoll,F,20230110,B,100,Y,89.25,0.0,0.0,0.0
kaitlyn-engel,F,20230104,B,100,Y,86.07,0.0,0.0,0.0
matilda-han,F,20230117,B,100,Y,93.34,0.0,0.0,0.0
eva-deng,F,20230110,C,100,Y,84.42,36.0,36.0,36.0
isabelle-guarino,F,20230104,C,100,Y,75.13,78.0,78.0,78.0
alexis-lee-2,F,20221213,C,100,Y,79.31,58.0,58.0,58.0
louise-nielsen,F,20230119,C,100,Y,88.84,20.0,20.0,20.0
stacy-deng,F,20230119,C,100,Y,88.65,20.0,20.0,20.0
anna-kulesa,F,20230117,C,100,Y,89.95,16.0,16.0,16.0
