id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
natalie-kretov,F,20230123,A,200,Y,136.18,49.0,49.0,49.0
gisele-zhornist,F,20221219,A,200,Y,184.26,0.0,0.0,0.0
nandika-nair,F,20221219,A,200,Y,189.17,0.0,0.0,0.0
maria-petruzzi,F,20221221,A,200,Y,126.11,80.0,80.0,80.0
aya-shental,F,20230106,A,200,Y,129.24,70.0,70.0,70.0
audrey-hersey,F,20230123,A,200,Y,174.13,0.0,0.0,0.0
giuliana-de-grazio,F,20230130,A,200,Y,154.11,3.0,3.0,3.0
mackenzie-goldfeder,F,20230105,A,200,Y,182.16,0.0,0.0,0.0
gisele-zhornist,F,20230105,E,200,Y,217.26,0.0,0.0,0.0
maria-petruzzi,F,20221219,E,200,Y,146.4,66.0,66.0,66.0
gabriella-de-grazio,F,20230130,E,200,Y,149.74,57.0,57.0,57.0
isabel-abreu,F,20221219,E,200,Y,170.39,7.0,7.0,7.0
aya-shental,F,20230130,E,200,Y,149.82,56.0,56.0,56.0
joelle-rush,F,20230106,E,200,Y,147.22,64.0,64.0,64.0
kristin-chang,F,20221221,E,200,Y,191.03,0.0,0.0,0.0
natalie-kretov,F,20230123,A,50,Y,28.83,57.0,57.0,57.0
gisele-zhornist,F,20221221,A,50,Y,35.53,0.0,0.0,0.0
nandika-nair,F,20230106,A,50,Y,36.69,0.0,0.0,0.0
isabel-abreu,F,20230130,A,50,Y,29.85,44.0,44.0,44.0
aya-shental,F,20221219,A,50,Y,27.36,77.0,77.0,77.0
alicia-ying,F,20230106,A,50,Y,27.21,79.0,79.0,79.0
audrey-hersey,F,20221219,A,50,Y,35.74,0.0,0.0,0.0
kristin-chang,F,20230130,A,50,Y,29.51,48.0,48.0,48.0
mackenzie-goldfeder,F,20221221,A,50,Y,34.34,0.0,0.0,0.0
elizabeth-saada,F,20230123,A,50,Y,38.5,0.0,0.0,0.0
natalie-kretov,F,20230105,D,100,Y,77.81,25.0,25.0,25.0
gisele-zhornist,F,20230123,D,100,Y,111.66,0.0,0.0,0.0
gabriella-de-grazio,F,20230123,D,100,Y,68.2,66.0,66.0,66.0
joelle-rush,F,20230130,D,100,Y,63.1,93.0,93.0,93.0
natalie-kretov,F,20221221,A,100,Y,61.56,59.0,59.0,59.0
gisele-zhornist,F,20230105,A,100,Y,81.68,0.0,0.0,0.0
isabel-abreu,F,20230106,A,100,Y,69.28,15.0,15.0,15.0
aya-shental,F,20230130,A,100,Y,59.09,76.0,76.0,76.0
alicia-ying,F,20230130,A,100,Y,59.19,75.0,75.0,75.0
joelle-rush,F,20230105,A,100,Y,62.0,57.0,57.0,57.0
kristin-chang,F,20221219,A,100,Y,66.31,31.0,31.0,31.0
elizabeth-saada,F,20230123,A,100,Y,87.7,0.0,0.0,0.0
gisele-zhornist,F,20230106,A,500,Y,487.95,0.0,0.0,0.0
nandika-nair,F,20230130,A,500,Y,505.89,0.0,0.0,0.0
maria-petruzzi,F,20230106,A,500,Y,331.53,87.0,87.0,87.0
giuliana-de-grazio,F,20230130,A,500,Y,376.24,36.0,36.0,36.0
mackenzie-goldfeder,F,20221219,A,500,Y,507.67,0.0,0.0,0.0
nandika-nair,F,20230106,B,100,Y,94.45,0.0,0.0,0.0
isabel-abreu,F,20230130,B,100,Y,75.98,24.0,24.0,24.0
aya-shental,F,20230106,B,100,Y,69.56,54.0,54.0,54.0
alicia-ying,F,20230130,B,100,Y,68.4,61.0,61.0,61.0
joelle-rush,F,20230130,B,100,Y,64.75,81.0,81.0,81.0
giuliana-de-grazio,F,20230112,B,100,Y,78.03,15.0,15.0,15.0
natalie-kretov,F,20230130,C,100,Y,83.0,42.0,42.0,42.0
maria-petruzzi,F,20230130,C,100,Y,78.09,63.0,63.0,63.0
alicia-ying,F,20230105,C,100,Y,82.04,46.0,46.0,46.0
audrey-hersey,F,20230112,C,100,Y,112.18,0.0,0.0,0.0
mackenzie-goldfeder,F,20230105,C,100,Y,92.59,7.0,7.0,7.0
