id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
alisa-shapiro,F,20221208,A,200,Y,135.86,50.0,50.0,50.0
nabinger-taylor,F,20230128,A,200,Y,135.19,52.0,52.0,52.0
katherine-franciotti,F,20221208,A,200,Y,132.94,58.0,58.0,58.0
dakotah-cestare,F,20230111,A,200,Y,127.54,75.0,75.0,75.0
allison-mazur,F,20221215,A,200,Y,164.48,0.0,0.0,0.0
alexa-harris,F,20230111,A,200,Y,124.63,85.0,85.0,85.0
emily-briggs,F,20230114,A,200,Y,159.59,0.0,0.0,0.0
ivana-chatrath,F,20230128,A,200,Y,133.43,57.0,57.0,57.0
anna-denick,F,20230118,A,200,Y,144.03,27.0,27.0,27.0
ashley-weinberg,F,20221210,A,200,Y,150.44,11.0,11.0,11.0
meghan-willson,F,20221210,A,200,Y,150.27,12.0,12.0,12.0
heather-oday,F,20221215,A,200,Y,124.53,85.0,85.0,85.0
abby-zane,F,20230114,A,200,Y,123.76,88.0,88.0,88.0
julia-fanning,F,20230124,A,200,Y,121.34,97.0,97.0,97.0
angeline-bui,F,20230118,A,200,Y,137.69,44.0,44.0,44.0
alisa-shapiro,F,20230128,E,200,Y,146.24,66.0,66.0,66.0
nabinger-taylor,F,20230118,E,200,Y,151.99,51.0,51.0,51.0
katherine-franciotti,F,20230128,E,200,Y,153.94,46.0,46.0,46.0
dakotah-cestare,F,20221208,E,200,Y,145.63,68.0,68.0,68.0
kylie-durboraw,F,20221208,E,200,Y,158.4,34.0,34.0,34.0
allison-mazur,F,20221208,E,200,Y,177.18,0.0,0.0,0.0
alexa-harris,F,20230118,E,200,Y,151.63,52.0,52.0,52.0
ivana-chatrath,F,20221222,E,200,Y,151.41,52.0,52.0,52.0
selen-arkan,F,20221210,E,200,Y,162.75,24.0,24.0,24.0
anna-denick,F,20221210,E,200,Y,164.92,19.0,19.0,19.0
heather-oday,F,20230118,E,200,Y,137.38,93.0,93.0,93.0
abby-zane,F,20230124,E,200,Y,130.03,118.0,118.0,118.0
julia-fanning,F,20221219,E,200,Y,135.59,99.0,99.0,99.0
adrianna-bui,F,20230124,E,200,Y,144.94,70.0,70.0,70.0
alisa-shapiro,F,20230124,A,50,Y,26.08,96.0,96.0,96.0
nabinger-taylor,F,20221215,A,50,Y,27.1,81.0,81.0,81.0
katherine-franciotti,F,20221210,A,50,Y,28.18,65.0,65.0,65.0
kylie-durboraw,F,20230118,A,50,Y,28.59,60.0,60.0,60.0
