id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
madison-neer,F,20221222,A,200,Y,151.75,8.0,8.0,8.0
ella-mingari,F,20230110,A,200,Y,176.67,0.0,0.0,0.0
gosia-swat,F,20221212,A,200,Y,160.0,0.0,0.0,0.0
katherine-ruggiero,F,20221222,A,200,Y,215.33,0.0,0.0,0.0
annie-enslin,F,20221215,A,200,Y,144.69,26.0,26.0,26.0
mia-dungo,F,20221220,A,200,Y,150.59,11.0,11.0,11.0
sara-fuertes,F,20230130,A,200,Y,224.91,0.0,0.0,0.0
grace-stewart,F,20230124,A,200,Y,168.68,0.0,0.0,0.0
gabriela-irizarry,F,20230130,A,200,Y,206.83,0.0,0.0,0.0
magda-swat,F,20230105,E,200,Y,170.0,8.0,8.0,8.0
gloria-buccino,F,20221208,E,200,Y,194.43,0.0,0.0,0.0
gianna-lodato-1,F,20221220,E,200,Y,196.71,0.0,0.0,0.0
mia-dungo,F,20221222,E,200,Y,143.94,73.0,73.0,73.0
madison-neer,F,20230130,A,50,Y,29.25,51.0,51.0,51.0
elizabeth-rosiecki,F,20221220,A,50,Y,27.31,78.0,78.0,78.0
caroline-rosiecki,F,20221222,A,50,Y,27.04,82.0,82.0,82.0
gosia-swat,F,20230105,A,50,Y,32.04,19.0,19.0,19.0
simone-caplan,F,20230130,A,50,Y,33.5,4.0,4.0,4.0
kylie-mccarthy,F,20230130,A,50,Y,33.0,9.0,9.0,9.0
katherine-ruggiero,F,20221212,A,50,Y,41.12,0.0,0.0,0.0
grace-stewart,F,20221215,A,50,Y,33.32,6.0,6.0,6.0
magda-swat,F,20221222,D,100,Y,80.58,15.0,15.0,15.0
gloria-buccino,F,20221220,D,100,Y,85.25,0.0,0.0,0.0
gianna-lodato-1,F,20221212,D,100,Y,101.68,0.0,0.0,0.0
madison-neer,F,20230130,A,100,Y,65.31,36.0,36.0,36.0
caroline-rosiecki,F,20221208,A,100,Y,59.4,74.0,74.0,74.0
simone-caplan,F,20221208,A,100,Y,89.01,0.0,0.0,0.0
katherine-ruggiero,F,20221215,A,100,Y,90.46,0.0,0.0,0.0
mia-dungo,F,20221212,A,100,Y,62.9,51.0,51.0,51.0
sara-fuertes,F,20221212,A,100,Y,98.66,0.0,0.0,0.0
grace-stewart,F,20230110,A,100,Y,74.9,0.0,0.0,0.0
ella-mingari,F,20230105,A,500,Y,500.58,0.0,0.0,0.0
gloria-buccino,F,20221208,A,500,Y,496.37,0.0,0.0,0.0
gosia-swat,F,20230130,A,500,Y,484.94,0.0,0.0,0.0
gianna-lodato-1,F,20221208,A,500,Y,465.63,0.0,0.0,0.0
simone-caplan,F,20230110,A,500,Y,599.99,0.0,0.0,0.0
katherine-ruggiero,F,20221212,A,500,Y,596.26,0.0,0.0,0.0
annie-enslin,F,20221220,A,500,Y,389.68,22.0,22.0,22.0
sara-fuertes,F,20221222,A,500,Y,599.99,0.0,0.0,0.0
grace-stewart,F,20221212,A,500,Y,497.17,0.0,0.0,0.0
ella-mingari,F,20221215,B,100,Y,99.98,0.0,0.0,0.0
gloria-buccino,F,20221215,B,100,Y,90.83,0.0,0.0,0.0
kylie-mccarthy,F,20221208,B,100,Y,102.56,0.0,0.0,0.0
katherine-ruggiero,F,20221208,B,100,Y,112.88,0.0,0.0,0.0
mia-dungo,F,20221222,B,100,Y,69.56,54.0,54.0,54.0
grace-stewart,F,20221212,B,100,Y,96.51,0.0,0.0,0.0
gabriela-irizarry,F,20221222,B,100,Y,112.15,0.0,0.0,0.0
gosia-swat,F,20230110,C,100,Y,93.82,3.0,3.0,3.0
gianna-lodato-1,F,20221212,C,100,Y,95.52,0.0,0.0,0.0
annie-enslin,F,20221222,C,100,Y,82.12,46.0,46.0,46.0
sara-fuertes,F,20221220,C,100,Y,113.06,0.0,0.0,0.0
