id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
sarah-maher-1,F,20221213,A,200,Y,177.25,0.0,0.0,0.0
keira-ardise,F,20230110,A,200,Y,176.42,0.0,0.0,0.0
kate-mccaffrey,F,20230118,A,200,Y,190.07,0.0,0.0,0.0
scarlett-mahoney,F,20230124,A,200,Y,174.23,0.0,0.0,0.0
mollie-ritter,F,20230111,A,200,Y,175.45,0.0,0.0,0.0
desiree-mitchell-1,F,20230118,A,200,Y,203.0,0.0,0.0,0.0
keira-ardise,F,20230118,E,200,Y,218.66,0.0,0.0,0.0
alanna-chobar,F,20221213,E,200,Y,167.34,14.0,14.0,14.0
clara-vales,F,20221220,E,200,Y,173.98,0.0,0.0,0.0
ava-tiscornia,F,20230110,E,200,Y,168.66,11.0,11.0,11.0
mackenzie-motroni,F,20230111,E,200,Y,203.59,0.0,0.0,0.0
iman-ali,F,20221220,E,200,Y,150.41,55.0,55.0,55.0
elizabeth-rogers,F,20230120,E,200,Y,201.02,0.0,0.0,0.0
alanna-chobar,F,20230110,A,50,Y,29.54,48.0,48.0,48.0
ava-tiscornia,F,20221213,A,50,Y,28.42,62.0,62.0,62.0
scarlett-mahoney,F,20221213,A,50,Y,33.94,0.0,0.0,0.0
anne-egan,F,20230110,A,50,Y,40.02,0.0,0.0,0.0
mackenzie-motroni,F,20230104,A,50,Y,34.2,0.0,0.0,0.0
mollie-ritter,F,20230124,A,50,Y,30.54,36.0,36.0,36.0
desiree-mitchell-1,F,20230110,A,50,Y,37.4,0.0,0.0,0.0
elizabeth-rogers,F,20230124,A,50,Y,32.11,18.0,18.0,18.0
keira-ardise,F,20230111,D,100,Y,103.44,0.0,0.0,0.0
alanna-chobar,F,20230118,D,100,Y,76.95,28.0,28.0,28.0
clara-vales,F,20221213,D,100,Y,109.1,0.0,0.0,0.0
iman-ali,F,20230120,D,100,Y,71.9,49.0,49.0,49.0
sarah-maher-1,F,20230111,A,100,Y,83.18,0.0,0.0,0.0
kate-mccaffrey,F,20230111,A,100,Y,84.28,0.0,0.0,0.0
clara-vales,F,20230104,A,100,Y,69.59,13.0,13.0,13.0
ava-tiscornia,F,20230120,A,100,Y,63.95,44.0,44.0,44.0
scarlett-mahoney,F,20221220,A,100,Y,77.69,0.0,0.0,0.0
anne-egan,F,20230124,A,100,Y,97.8,0.0,0.0,0.0
mackenzie-motroni,F,20221213,A,100,Y,75.9,0.0,0.0,0.0
mollie-ritter,F,20230110,A,100,Y,71.59,3.0,3.0,3.0
desiree-mitchell-1,F,20230124,A,100,Y,87.68,0.0,0.0,0.0
elizabeth-rogers,F,20230104,A,100,Y,76.39,0.0,0.0,0.0
sarah-maher-1,F,20221213,A,500,Y,463.48,0.0,0.0,0.0
keira-ardise,F,20230124,A,500,Y,505.51,0.0,0.0,0.0
alanna-chobar,F,20230118,A,500,Y,422.66,0.0,0.0,0.0
ava-tiscornia,F,20230118,A,500,Y,421.13,0.0,0.0,0.0
scarlett-mahoney,F,20230110,A,500,Y,513.16,0.0,0.0,0.0
mackenzie-motroni,F,20221220,A,500,Y,467.92,0.0,0.0,0.0
iman-ali,F,20230111,A,500,Y,349.49,65.0,65.0,65.0
sarah-maher-1,F,20221213,B,100,Y,99.93,0.0,0.0,0.0
alanna-chobar,F,20230110,B,100,Y,78.93,11.0,11.0,11.0
clara-vales,F,20221213,B,100,Y,81.18,2.0,2.0,2.0
anne-egan,F,20230111,B,100,Y,122.94,0.0,0.0,0.0
iman-ali,F,20221220,B,100,Y,68.09,62.0,62.0,62.0
elizabeth-rogers,F,20230124,B,100,Y,86.65,0.0,0.0,0.0
keira-ardise,F,20230111,C,100,Y,102.27,0.0,0.0,0.0
kate-mccaffrey,F,20230120,C,100,Y,99.69,0.0,0.0,0.0
clara-vales,F,20230104,C,100,Y,89.3,18.0,18.0,18.0
mackenzie-motroni,F,20230124,C,100,Y,88.99,19.0,19.0,19.0
mollie-ritter,F,20221213,C,100,Y,99.09,0.0,0.0,0.0
