id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
kylie-newton,F,20230127,A,200,Y,135.84,50.0,50.0,50.0
julia-stobie-1,F,20230112,A,200,Y,150.1,12.0,12.0,12.0
maddie-renaud,F,20230117,A,200,Y,174.06,0.0,0.0,0.0
micheala-darcy,F,20230112,E,200,Y,142.34,78.0,78.0,78.0
alexandra-pressuti,F,20221208,E,200,Y,164.91,19.0,19.0,19.0
alexandra-pressuti,F,20230123,A,50,Y,33.57,3.0,3.0,3.0
julia-stobie-1,F,20221208,A,50,Y,29.12,53.0,53.0,53.0
izzy-chagares,F,20230123,A,50,Y,30.06,41.0,41.0,41.0
maddie-renaud,F,20230105,A,50,Y,35.33,0.0,0.0,0.0
elle-brandt,F,20230123,A,50,Y,33.81,1.0,1.0,1.0
yasmeen-kahn,F,20230112,A,50,Y,34.61,0.0,0.0,0.0
ilana-kasner,F,20230117,A,50,Y,33.78,1.0,1.0,1.0
kylie-newton,F,20230105,D,100,Y,82.78,7.0,7.0,7.0
micheala-darcy,F,20230117,D,100,Y,65.65,79.0,79.0,79.0
ava-ansell,F,20230127,D,100,Y,83.3,5.0,5.0,5.0
sophia-behar,F,20230109,D,100,Y,139.99,0.0,0.0,0.0
julia-stobie-1,F,20230105,A,100,Y,66.04,32.0,32.0,32.0
jackie-pohl-1,F,20230127,A,100,Y,73.02,0.0,0.0,0.0
izzy-chagares,F,20230117,A,100,Y,73.98,0.0,0.0,0.0
maddie-renaud,F,20230127,A,100,Y,79.14,0.0,0.0,0.0
ava-garcia,F,20230123,A,100,Y,78.2,0.0,0.0,0.0
kylie-newton,F,20221208,A,500,Y,366.23,46.0,46.0,46.0
micheala-darcy,F,20230105,A,500,Y,359.77,53.0,53.0,53.0
kylie-newton,F,20230109,B,100,Y,73.12,37.0,37.0,37.0
micheala-darcy,F,20230105,B,100,Y,67.78,64.0,64.0,64.0
julia-stobie-1,F,20230127,B,100,Y,72.53,40.0,40.0,40.0
ava-ansell,F,20230112,B,100,Y,83.21,0.0,0.0,0.0
jackie-pohl-1,F,20221208,B,100,Y,78.25,14.0,14.0,14.0
sophia-behar,F,20230123,B,100,Y,107.85,0.0,0.0,0.0
micheala-darcy,F,20230112,C,100,Y,75.4,76.0,76.0,76.0
alexandra-pressuti,F,20221208,C,100,Y,88.45,21.0,21.0,21.0
elle-brandt,F,20230127,C,100,Y,98.59,0.0,0.0,0.0
ava-garcia,F,20230127,C,100,Y,103.97,0.0,0.0,0.0
ilana-kasner,F,20230112,C,100,Y,115.52,0.0,0.0,0.0
