id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
dionisia-yanniotis,F,20221222,A,200,Y,142.15,32.0,32.0,32.0
sophie-beaubouef,F,20221222,A,200,Y,196.33,0.0,0.0,0.0
katie-repoli,F,20230105,E,200,Y,169.33,9.0,9.0,9.0
isabella-bopp,F,20230112,E,200,Y,218.96,0.0,0.0,0.0
nina-navarro,F,20230103,E,200,Y,223.18,0.0,0.0,0.0
kate-carlson,F,20221222,A,50,Y,27.07,81.0,81.0,81.0
sophie-beaubouef,F,20221214,A,50,Y,27.33,77.0,77.0,77.0
caitlyn-heimerle,F,20221214,A,50,Y,38.54,0.0,0.0,0.0
alana-drost,F,20230103,A,50,Y,48.73,0.0,0.0,0.0
julia-komninos,F,20230105,A,50,Y,28.63,59.0,59.0,59.0
kimberly-horton,F,20230103,A,50,Y,36.39,0.0,0.0,0.0
elin-attal,F,20230105,A,50,Y,48.2,0.0,0.0,0.0
allison-carvalloza,F,20230105,A,50,Y,45.2,0.0,0.0,0.0
isabella-bopp,F,20230112,D,100,Y,105.47,0.0,0.0,0.0
nina-navarro,F,20230105,D,100,Y,111.45,0.0,0.0,0.0
kate-carlson,F,20221220,A,100,Y,61.17,63.0,63.0,63.0
sophie-beaubouef,F,20230105,A,100,Y,58.6,80.0,80.0,80.0
nolani-lloyd,F,20230103,A,100,Y,80.06,0.0,0.0,0.0
kimberly-horton,F,20230105,A,100,Y,77.23,0.0,0.0,0.0
elin-attal,F,20230103,A,100,Y,105.36,0.0,0.0,0.0
dionisia-yanniotis,F,20230112,A,500,Y,413.22,1.0,1.0,1.0
nina-navarro,F,20230105,A,500,Y,556.53,0.0,0.0,0.0
nina-navarro,F,20221220,B,100,Y,107.61,0.0,0.0,0.0
francesca-bopp,F,20221220,B,100,Y,83.39,0.0,0.0,0.0
julia-komninos,F,20230105,B,100,Y,71.18,46.0,46.0,46.0
megan-mcgrath-549966,F,20230112,B,100,Y,96.45,0.0,0.0,0.0
katie-repoli,F,20221220,C,100,Y,89.98,16.0,16.0,16.0
sophie-beaubouef,F,20230105,C,100,Y,76.36,72.0,72.0,72.0
emma-baschieri,F,20221220,C,100,Y,98.25,0.0,0.0,0.0
sarah-wynne,F,20221220,C,100,Y,97.32,0.0,0.0,0.0
