id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
zoe-tseng,F,20230110,A,200,Y,123.02,91.0,91.0,91.0
annie-zwally,F,20230120,A,200,Y,128.05,74.0,74.0,74.0
sofia-maciejewski,F,20221208,A,200,Y,143.22,29.0,29.0,29.0
kayla-marion,F,20230117,A,200,Y,126.39,79.0,79.0,79.0
haley-lamont,F,20221213,A,200,Y,131.0,64.0,64.0,64.0
catherine-ritter,F,20230110,A,200,Y,115.3,120.0,120.0,120.0
meghan-dwyer-1,F,20230110,A,200,Y,118.88,106.0,106.0,106.0
livia-minaides,F,20230124,A,200,Y,130.19,67.0,67.0,67.0
emily-castela,F,20221215,A,200,Y,134.78,53.0,53.0,53.0
sofiya-piede,F,20230117,A,200,Y,151.8,8.0,8.0,8.0
marina-cialdella,F,20221215,A,200,Y,161.94,0.0,0.0,0.0
emma-shiles,F,20221215,A,200,Y,162.46,0.0,0.0,0.0
caroline-heinze,F,20221216,A,200,Y,155.22,0.0,0.0,0.0
sophie-waibel,F,20221216,A,200,Y,153.63,4.0,4.0,4.0
sekai-lynton-jones,F,20230117,A,200,Y,166.41,0.0,0.0,0.0
zoe-tseng,F,20230105,E,200,Y,141.83,79.0,79.0,79.0
sofia-maciejewski,F,20221213,E,200,Y,169.03,10.0,10.0,10.0
isabella-latini,F,20221208,E,200,Y,137.83,92.0,92.0,92.0
kayla-marion,F,20221208,E,200,Y,138.18,91.0,91.0,91.0
haley-lamont,F,20221208,E,200,Y,162.03,26.0,26.0,26.0
catherine-ritter,F,20221216,E,200,Y,145.13,70.0,70.0,70.0
meghan-dwyer-1,F,20230117,E,200,Y,148.74,59.0,59.0,59.0
emma-brown-2,F,20221216,E,200,Y,165.99,17.0,17.0,17.0
sophia-latini-1,F,20230110,E,200,Y,134.3,103.0,103.0,103.0
olivia-chow,F,20230120,E,200,Y,126.76,130.0,130.0,130.0
livia-minaides,F,20230117,E,200,Y,154.65,44.0,44.0,44.0
caitlyn-falkowski,F,20221215,E,200,Y,167.11,14.0,14.0,14.0
