id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
ashaly-dominguez,F,20230110,A,200,Y,128.99,71.0,71.0,71.0
julia-lo,F,20230112,A,200,Y,122.71,92.0,92.0,92.0
brittany-roman,F,20230119,A,200,Y,137.69,44.0,44.0,44.0
marcela-sperzel,F,20221222,A,200,Y,144.49,26.0,26.0,26.0
naiara-castrillion,F,20230105,A,200,Y,140.72,36.0,36.0,36.0
danna-tapia,F,20230110,A,200,Y,128.29,73.0,73.0,73.0
anna-diaz,F,20230112,A,200,Y,134.66,53.0,53.0,53.0
willow-phelps,F,20221222,A,200,Y,157.49,0.0,0.0,0.0
elliana-macaluso,F,20230130,A,200,Y,139.91,38.0,38.0,38.0
ashaly-dominguez,F,20230105,E,200,Y,150.29,55.0,55.0,55.0
julia-lo,F,20230130,E,200,Y,139.87,85.0,85.0,85.0
samantha-mckatten,F,20230112,E,200,Y,158.32,35.0,35.0,35.0
francesca-cordero,F,20230110,E,200,Y,135.13,101.0,101.0,101.0
vivien-pajuelo,F,20230119,E,200,Y,164.22,21.0,21.0,21.0
leah-ciabattoni,F,20221213,E,200,Y,146.54,66.0,66.0,66.0
danna-tapia,F,20230112,E,200,Y,139.37,87.0,87.0,87.0
dayaneira-chacon,F,20230117,E,200,Y,203.03,0.0,0.0,0.0
ashaly-dominguez,F,20221221,A,50,Y,27.84,70.0,70.0,70.0
vivien-pajuelo,F,20230112,A,50,Y,30.0,42.0,42.0,42.0
marcela-sperzel,F,20221208,A,50,Y,28.54,61.0,61.0,61.0
naiara-castrillion,F,20221208,A,50,Y,29.5,48.0,48.0,48.0
elizabeth-fishman,F,20221208,A,50,Y,28.62,59.0,59.0,59.0
danna-tapia,F,20230105,A,50,Y,27.05,81.0,81.0,81.0
willow-phelps,F,20230110,A,50,Y,29.33,50.0,50.0,50.0
abigail-chetnik,F,20230119,A,50,Y,27.93,69.0,69.0,69.0
laura-kubacka,F,20221221,A,50,Y,31.32,27.0,27.0,27.0
dayaneira-chacon,F,20221222,A,50,Y,32.15,18.0,18.0,18.0
sadie-mattews,F,20230117,A,50,Y,30.1,41.0,41.0,41.0
emily-simone,F,20221222,A,50,Y,32.18,17.0,17.0,17.0
genevieve-smith,F,20230119,A,50,Y,35.4,0.0,0.0,0.0
sarah-kincherlow-warren,F,20230117,A,50,Y,40.93,0.0,0.0,0.0
ashaly-dominguez,F,20221213,D,100,Y,65.15,81.0,81.0,81.0
julia-lo,F,20230126,D,100,Y,60.43,108.0,108.0,108.0
samantha-mckatten,F,20230105,D,100,Y,76.52,30.0,30.0,30.0
naiara-castrillion,F,20221222,D,100,Y,89.56,0.0,0.0,0.0
mya-vargas,F,20230130,D,100,Y,68.48,64.0,64.0,64.0
viktoria-salakhova,F,20230119,D,100,Y,74.31,38.0,38.0,38.0
leah-ciabattoni,F,20230130,D,100,Y,65.53,79.0,79.0,79.0
danna-tapia,F,20230110,D,100,Y,61.56,102.0,102.0,102.0
laura-kubacka,F,20221222,D,100,Y,83.91,3.0,3.0,3.0
ashaly-dominguez,F,20230110,A,100,Y,58.84,78.0,78.0,78.0
julia-lo,F,20221213,A,100,Y,56.39,96.0,96.0,96.0
brittany-roman,F,20230130,A,100,Y,64.94,39.0,39.0,39.0
samantha-mckatten,F,20221208,A,100,Y,63.88,45.0,45.0,45.0
francesca-cordero,F,20230112,A,100,Y,59.78,71.0,71.0,71.0
marcela-sperzel,F,20221222,A,100,Y,68.11,21.0,21.0,21.0
elizabeth-fishman,F,20230130,A,100,Y,63.67,46.0,46.0,46.0
leah-ciabattoni,F,20221208,A,100,Y,59.08,76.0,76.0,76.0
danna-tapia,F,20221208,A,100,Y,58.31,82.0,82.0,82.0
anna-diaz,F,20221222,A,100,Y,59.98,70.0,70.0,70.0
dayaneira-chacon,F,20221221,A,100,Y,74.17,0.0,0.0,0.0
sadie-mattews,F,20221221,A,100,Y,71.75,3.0,3.0,3.0
elliana-macaluso,F,20230126,A,100,Y,64.93,39.0,39.0,39.0
emily-simone,F,20230117,A,100,Y,73.9,0.0,0.0,0.0
sarah-kincherlow-warren,F,20230117,A,100,Y,70.15,10.0,10.0,10.0
ashaly-dominguez,F,20230117,A,500,Y,345.7,70.0,70.0,70.0
julia-lo,F,20230130,A,500,Y,335.04,83.0,83.0,83.0
brittany-roman,F,20230110,A,500,Y,393.68,19.0,19.0,19.0
samantha-mckatten,F,20230130,A,500,Y,390.63,21.0,21.0,21.0
marcela-sperzel,F,20221221,A,500,Y,405.36,8.0,8.0,8.0
elizabeth-fishman,F,20230117,A,500,Y,364.38,48.0,48.0,48.0
viktoria-salakhova,F,20221222,A,500,Y,423.92,0.0,0.0,0.0
leah-ciabattoni,F,20230126,A,500,Y,348.96,66.0,66.0,66.0
