id,sex,swim-date,stroke,distance,course,time,powerpoints,powerpoints1,powerpoints2
makayla-kline,F,20221208,A,200,Y,127.8,74.0,74.0,74.0
kora-tedesco,F,20230117,A,200,Y,134.31,54.0,54.0,54.0
ava-alexander-1,F,20221213,A,200,Y,159.47,0.0,0.0,0.0
insia-bhagat,F,20230124,A,200,Y,145.06,25.0,25.0,25.0
abigail-dilorenzo,F,20230124,A,200,Y,140.88,36.0,36.0,36.0
erica-sprigman,F,20230104,A,200,Y,138.81,41.0,41.0,41.0
anna-sisca,F,20230124,A,200,Y,135.52,51.0,51.0,51.0
lana-tropea,F,20221213,A,200,Y,151.57,9.0,9.0,9.0
katie-dilorenzo,F,20230104,A,200,Y,123.05,91.0,91.0,91.0
madelyn-cassisy,F,20230117,A,200,Y,114.64,122.0,122.0,122.0
makayla-kline,F,20221213,E,200,Y,144.62,71.0,71.0,71.0
sabrina-schonewise,F,20230117,E,200,Y,144.78,71.0,71.0,71.0
insia-bhagat,F,20221208,E,200,Y,156.88,38.0,38.0,38.0
erica-sprigman,F,20230124,E,200,Y,151.16,53.0,53.0,53.0
holland-spangler,F,20230124,E,200,Y,138.79,89.0,89.0,89.0
sarah-miller-12,F,20230104,E,200,Y,155.69,41.0,41.0,41.0
brooke-warmer,F,20230117,E,200,Y,133.94,105.0,105.0,105.0
makayla-kline,F,20230117,A,50,Y,26.55,89.0,89.0,89.0
insia-bhagat,F,20221213,A,50,Y,29.3,51.0,51.0,51.0
abigail-dilorenzo,F,20221208,A,50,Y,28.91,56.0,56.0,56.0
christine-yang-1,F,20221208,A,50,Y,36.85,0.0,0.0,0.0
anna-sisca,F,20230104,A,50,Y,29.43,49.0,49.0,49.0
lana-tropea,F,20230117,A,50,Y,29.34,50.0,50.0,50.0
jennifer-yeung,F,20230124,A,50,Y,35.84,0.0,0.0,0.0
katie-dilorenzo,F,20230117,A,50,Y,26.03,97.0,97.0,97.0
brooke-warmer,F,20230124,A,50,Y,25.94,99.0,99.0,99.0
madelyn-cassisy,F,20230104,A,50,Y,24.32,126.0,126.0,126.0
victoria-cato,F,20230124,A,50,Y,40.46,0.0,0.0,0.0
makayla-kline,F,20230124,D,100,Y,71.06,52.0,52.0,52.0
sabrina-schonewise,F,20221213,D,100,Y,74.78,37.0,37.0,37.0
insia-bhagat,F,20230117,D,100,Y,68.65,64.0,64.0,64.0
erica-sprigman,F,20230117,D,100,Y,65.09,82.0,82.0,82.0
kornegay-evelyn,F,20221208,D,100,Y,100.78,0.0,0.0,0.0
bailey-hostetter,F,20221208,D,100,Y,106.35,0.0,0.0,0.0
holland-spangler,F,20230104,D,100,Y,63.15,92.0,92.0,92.0
lana-tropea,F,20221213,D,100,Y,78.48,22.0,22.0,22.0
audrey-mckenna,F,20230124,D,100,Y,80.2,16.0,16.0,16.0
madelyn-cassisy,F,20230117,D,100,Y,57.17,130.0,130.0,130.0
makayla-kline,F,20230117,A,100,Y,57.73,86.0,86.0,86.0
kora-tedesco,F,20221213,A,100,Y,64.52,41.0,41.0,41.0
ava-alexander-1,F,20230104,A,100,Y,71.91,2.0,2.0,2.0
abigail-dilorenzo,F,20230104,A,100,Y,63.88,45.0,45.0,45.0
kornegay-evelyn,F,20230124,A,100,Y,80.64,0.0,0.0,0.0
holland-spangler,F,20230117,A,100,Y,56.47,95.0,95.0,95.0
sydney-werner,F,20221208,A,100,Y,80.66,0.0,0.0,0.0
audrey-mckenna,F,20230117,A,100,Y,70.81,7.0,7.0,7.0
jennifer-yeung,F,20221213,A,100,Y,90.19,0.0,0.0,0.0
kora-tedesco,F,20230124,A,500,Y,364.69,48.0,48.0,48.0
abigail-dilorenzo,F,20230117,A,500,Y,363.26,49.0,49.0,49.0
anna-sisca,F,20230117,A,500,Y,359.83,53.0,53.0,53.0
lana-tropea,F,20230124,A,500,Y,427.56,0.0,0.0,0.0
audrey-mckenna,F,20230104,A,500,Y,437.02,0.0,0.0,0.0
katie-dilorenzo,F,20230117,A,500,Y,318.58,105.0,105.0,105.0
madelyn-cassisy,F,20230124,A,500,Y,320.33,103.0,103.0,103.0
makayla-kline,F,20221213,B,100,Y,68.84,58.0,58.0,58.0
kora-tedesco,F,20230117,B,100,Y,65.17,79.0,79.0,79.0
ava-alexander-1,F,20221208,B,100,Y,79.34,10.0,10.0,10.0
sabrina-schonewise,F,20230117,B,100,Y,71.08,47.0,47.0,47.0
erica-sprigman,F,20230117,B,100,Y,68.37,61.0,61.0,61.0
audrey-mckenna,F,20221208,B,100,Y,77.45,17.0,17.0,17.0
madelyn-cassisy,F,20230104,B,100,Y,58.49,123.0,123.0,123.0
sabrina-schonewise,F,20221213,C,100,Y,80.34,53.0,53.0,53.0
insia-bhagat,F,20221208,C,100,Y,77.89,64.0,64.0,64.0
christine-yang-1,F,20230124,C,100,Y,93.82,3.0,3.0,3.0
erica-sprigman,F,20221208,C,100,Y,80.18,54.0,54.0,54.0
holland-spangler,F,20230117,C,100,Y,67.8,118.0,118.0,118.0
sarah-miller-12,F,20230104,C,100,Y,78.91,60.0,60.0,60.0
brooke-warmer,F,20230117,C,100,Y,65.94,130.0,130.0,130.0
